meddra_code	umls_concept_id	concept_name	child_query_id	child_query_level	mesh_unique_id	mesh_term
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10024033	2	D014854	Lateral Medullary Syndrome
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10044390	2	D002546	"Ischemic Attack, Transient"
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10050209	2	D020760	Spinal Cord Ischemia
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10051078	2	D059409	"Stroke, Lacunar"
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10057678	2	D015140	"Dementia, Vascular"
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10058842	2	D002561	Cerebrovascular Disorders
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10065559	2	D002537	Intracranial Arteriosclerosis
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10067116	2	D002340	Carotid Artery Diseases
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10009838	2	D000074742	Median Arcuate Ligament Syndrome
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10009895	2	D017091	"Colitis, Ischemic"
10004018	C0004623	Bacterial Infections	10004018	0	D001424	Bacterial Infections
10004606	C0005395	Bile Duct Diseases	10004606	0	D001649	Bile Duct Diseases
10004994	C0851427	Bladder and bladder neck disorders (excl calculi)	10005058	1	D001749	Urinary Bladder Neoplasms
10005330	C0851522	Blood and lymphatic system disorders congenital	10009735	1	D025861	"Blood Coagulation Disorders, Inherited"
10005330	C0851522	Blood and lymphatic system disorders congenital	10018903	1	D006453	Hemoglobinopathies
10005959	C0851413	Bone disorders (excl congenital and fractures)	10027425	1	D001851	"Bone Diseases, Metabolic"
10006232	C0006145	Breast Diseases	10006232	0	D001941	Breast Diseases
10006436	C0851526	Bronchial disorders (excl neoplasms)	10006437	2	D001983	Bronchial Fistula
10006436	C0851526	Bronchial disorders (excl neoplasms)	10006445	2	D001987	Bronchiectasis
10006436	C0851526	Bronchial disorders (excl neoplasms)	10006448	2	D001988	Bronchiolitis
10006436	C0851526	Bronchial disorders (excl neoplasms)	10048244	2	D056684	Yellow Nail Syndrome
10006436	C0851526	Bronchial disorders (excl neoplasms)	10053421	2	D055091	Bronchomalacia
10006436	C0851526	Bronchial disorders (excl neoplasms)	10064913	2	D001982	Bronchial Diseases
10006436	C0851526	Bronchial disorders (excl neoplasms)	10069713	2	D002925	Ciliary Motility Disorders
10006436	C0851526	Bronchial disorders (excl neoplasms)	10003553	2	D001249	Asthma
10006436	C0851526	Bronchial disorders (excl neoplasms)	10003557	2	D001250	"Asthma, Exercise-Induced"
10006436	C0851526	Bronchial disorders (excl neoplasms)	10006458	2	D029481	"Bronchitis, Chronic"
10006436	C0851526	Bronchial disorders (excl neoplasms)	10006482	2	D001986	Bronchial Spasm
10006436	C0851526	Bronchial disorders (excl neoplasms)	10009033	2	D029424	"Pulmonary Disease, Chronic Obstructive"
10006436	C0851526	Bronchial disorders (excl neoplasms)	10011762	2	D003550	Cystic Fibrosis
10006436	C0851526	Bronchial disorders (excl neoplasms)	10029888	2	D001989	Bronchiolitis Obliterans
10006436	C0851526	Bronchial disorders (excl neoplasms)	10041961	2	D013224	Status Asthmaticus
10006436	C0851526	Bronchial disorders (excl neoplasms)	10047924	2	D012135	Respiratory Sounds
10006436	C0851526	Bronchial disorders (excl neoplasms)	10061877	2	D008173	"Lung Diseases, Obstructive"
10006436	C0851526	Bronchial disorders (excl neoplasms)	10066091	2	D016535	Bronchial Hyperreactivity
10006436	C0851526	Bronchial disorders (excl neoplasms)	10070836	2	D059366	"Asthma, Occupational"
10006436	C0851526	Bronchial disorders (excl neoplasms)	10075289	2	D056151	Airway Remodeling
10007510	C0851437	Cardiac and vascular disorders congenital	10007607	1	D006343	Heart Septal Defects
10007510	C0851437	Cardiac and vascular disorders congenital	10034709	1	D010547	Persistent Fetal Circulation Syndrome
10007521	C0003811	Cardiac Arrhythmia	10007521	0	D001145	"Arrhythmias, Cardiac"
10007951	C0851412	Central nervous system infections and inflammations	10006105	2	D001922	Brain Abscess
10007951	C0851412	Central nervous system infections and inflammations	10061846	2	D020802	Epidural Abscess
10007951	C0851412	Central nervous system infections and inflammations	10003074	2	D001100	Arachnoiditis
10007951	C0851412	Central nervous system infections and inflammations	10018341	2	D005911	Gliosis
10007951	C0851412	Central nervous system infections and inflammations	10078011	2	C535814	Neurosarcoidosis
10007951	C0851412	Central nervous system infections and inflammations	10014581	2	D004660	Encephalitis
10007951	C0851412	Central nervous system infections and inflammations	10014603	2	D020804	"Encephalitis, Varicella Zoster"
10007951	C0851412	Central nervous system infections and inflammations	10014607	2	D020258	Neurotoxicity Syndromes
10007951	C0851412	Central nervous system infections and inflammations	10014619	2	D004679	Encephalomyelitis
10007951	C0851412	Central nervous system infections and inflammations	10023497	2	D007729	Kuru
10007951	C0851412	Central nervous system infections and inflammations	10042297	2	D013344	Subacute Sclerosing Panencephalitis
10007951	C0851412	Central nervous system infections and inflammations	10069587	2	D020361	"Paraneoplastic Syndromes, Nervous System"
10007951	C0851412	Central nervous system infections and inflammations	10072378	2	C535841	Hashimoto's encephalitis
10007951	C0851412	Central nervous system infections and inflammations	10078012	2	D020363	Limbic Encephalitis
10007951	C0851412	Central nervous system infections and inflammations	10057854	2	D016781	"Toxoplasmosis, Cerebral"
10007951	C0851412	Central nervous system infections and inflammations	10063032	2	D020808	Central Nervous System Protozoal Infections
10007951	C0851412	Central nervous system infections and inflammations	10063094	2	D016779	"Malaria, Cerebral"
10007951	C0851412	Central nervous system infections and inflammations	10069523	2	D000562	Amebiasis
10007951	C0851412	Central nervous system infections and inflammations	10025169	2	D008193	Lyme Disease
10007951	C0851412	Central nervous system infections and inflammations	10028098	2	D009091	Mucormycosis
10007951	C0851412	Central nervous system infections and inflammations	10029339	2	D009494	Neurosyphilis
10007951	C0851412	Central nervous system infections and inflammations	10042360	2	D013354	"Empyema, Subdural"
10007951	C0851412	Central nervous system infections and inflammations	10057244	2	D015673	"Fatigue Syndrome, Chronic"
10007951	C0851412	Central nervous system infections and inflammations	10058443	2	D020019	Neurocysticercosis
10007951	C0851412	Central nervous system infections and inflammations	10061036	2	D002494	Central Nervous System Infections
10007951	C0851412	Central nervous system infections and inflammations	10061037	2	D020805	Central Nervous System Viral Diseases
10007951	C0851412	Central nervous system infections and inflammations	10061391	2	D020306	"Tuberculosis, Central Nervous System"
10007951	C0851412	Central nervous system infections and inflammations	10072805	2	D020314	Central Nervous System Fungal Infections
10007963	C0851452	Central nervous system vascular disorders	10006147	2	D020526	Brain Stem Infarctions
10007963	C0851452	Central nervous system vascular disorders	10007688	2	D002341	Carotid Artery Thrombosis
10007963	C0851452	Central nervous system vascular disorders	10008088	2	D020766	Intracranial Embolism
10007963	C0851452	Central nervous system vascular disorders	10008111	2	D002543	Cerebral Hemorrhage
10007963	C0851452	Central nervous system vascular disorders	10008118	2	D002544	Cerebral Infarction
10007963	C0851452	Central nervous system vascular disorders	10008120	2	D002545	Brain Ischemia
10007963	C0851452	Central nervous system vascular disorders	10008132	2	D020767	Intracranial Thrombosis
10007963	C0851452	Central nervous system vascular disorders	10008190	2	D020521	Stroke
10007963	C0851452	Central nervous system vascular disorders	10018985	2	D020300	Intracranial Hemorrhages
10007963	C0851452	Central nervous system vascular disorders	10024033	2	D014854	Lateral Medullary Syndrome
10007963	C0851452	Central nervous system vascular disorders	10042316	2	D013345	Subarachnoid Hemorrhage
10007963	C0851452	Central nervous system vascular disorders	10048992	2	D020758	Spinal Cord Vascular Diseases
10007963	C0851452	Central nervous system vascular disorders	10049236	2	D046748	"Hematoma, Epidural, Spinal"
10007963	C0851452	Central nervous system vascular disorders	10050164	2	D046649	"Hematoma, Subdural, Spinal"
10007963	C0851452	Central nervous system vascular disorders	10051078	2	D059409	"Stroke, Lacunar"
10007963	C0851452	Central nervous system vascular disorders	10004163	2	D014715	Vertebrobasilar Insufficiency
10007963	C0851452	Central nervous system vascular disorders	10006127	2	D002534	"Hypoxia, Brain"
10007963	C0851452	Central nervous system vascular disorders	10007687	2	D016893	Carotid Stenosis
10007963	C0851452	Central nervous system vascular disorders	10008196	2	D002561	Cerebrovascular Disorders
10007963	C0851452	Central nervous system vascular disorders	10028047	2	D009072	Moyamoya Disease
10007963	C0851452	Central nervous system vascular disorders	10043207	2	D013700	Giant Cell Arteritis
10007963	C0851452	Central nervous system vascular disorders	10053841	2	D018860	Sneddon Syndrome
10007963	C0851452	Central nervous system vascular disorders	10056371	2	D002538	Intracranial Arteriovenous Malformations
10007963	C0851452	Central nervous system vascular disorders	10061744	2	D002340	Carotid Artery Diseases
10007963	C0851452	Central nervous system vascular disorders	10065559	2	D002537	Intracranial Arteriosclerosis
10007963	C0851452	Central nervous system vascular disorders	10067466	2	D059345	Cerebral Small Vessel Diseases
10007963	C0851452	Central nervous system vascular disorders	10068044	2	D016657	Cerebral Amyloid Angiopathy
10008401	C0851408	Changes in physical activity	10043835	1	D013981	Tic Disorders
10009841	C0851843	Cognitive and attention disorders and disturbances	10003730	1	D019958	Attention Deficit and Disruptive Behavior Disorders
10009841	C0851843	Cognitive and attention disorders and disturbances	10024094	1	D007859	Learning Disorders
10009841	C0851843	Cognitive and attention disorders and disturbances	10077548	1	D008607	Intellectual Disability
10010118	C0009460	Communication impairment	10010118	0	D003147	Communication Disorders
10010273	C0851374	"Pregnancy, labour, delivery and postpartum conditions"	10035633	1	D011272	"Pregnancy, Multiple"
10010273	C0851374	"Pregnancy, labour, delivery and postpartum conditions"	10036581	1	D049168	"Pregnancy, Unplanned"
10010273	C0851374	"Pregnancy, labour, delivery and postpartum conditions"	10059673	1	D018566	"Pregnancy, High-Risk"
10010761	C0851494	Connective tissue disorders (excl congenital)	10074472	1	D003240	Connective Tissue Diseases
10011063	C0851421	Cornification and dystrophic skin disorders	10021197	1	D007057	Ichthyosis
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10063927	2	D054971	Orthostatic Intolerance
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10007625	2	D012770	"Shock, Cardiogenic"
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10009192	2	D012769	Shock
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10013573	2	D004244	Dizziness
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10014824	2	D012772	"Shock, Septic"
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10019345	2	D018883	Heat Stroke
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10036653	2	D013575	Syncope
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10047847	2	D014884	Waterhouse-Friderichsen Syndrome
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10049771	2	D012771	"Shock, Hemorrhagic"
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10002198	2	D000707	Anaphylaxis
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10007196	2	D019559	Capillary Leak Syndrome
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10021097	2	D007022	Hypotension
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10031127	2	D007024	"Hypotension, Orthostatic"
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10051379	2	D018746	Systemic Inflammatory Response Syndrome
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10064060	2	D019578	Multiple System Atrophy
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10069828	2	D059230	"Reflex, Trigeminocardiac"
10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	10072264	2	D065227	Transfusion Reaction
10012375	C0851582	Depressed mood disorders and disturbances	10012401	1	D003866	Depressive Disorder
10012653	C0342257	Complications of Diabetes Mellitus	10012653	0	D048909	Diabetes Complications
10013296	C0851436	"Bone, calcium, magnesium and phosphorus metabolism disorders"	10005992	1	D001851	"Bone Diseases, Metabolic"
10013296	C0851436	"Bone, calcium, magnesium and phosphorus metabolism disorders"	10006975	1	D002128	Calcium Metabolism Disorders
10013296	C0851436	"Bone, calcium, magnesium and phosphorus metabolism disorders"	10034941	1	D010760	Phosphorus Metabolism Disorders
10013317	C0154251	Lipid Metabolism Disorders	10013317	0	D052439	Lipid Metabolism Disorders
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10013908	2	D008796	Metrorrhagia
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10013935	2	D004412	Dysmenorrhea
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10027327	2	D008599	Menstruation Disturbances
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10036618	2	D011293	Premenstrual Syndrome
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10051537	2	D065446	Premenstrual Dysphoric Disorder
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10001928	2	D000568	Amenorrhea
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10030295	2	D009839	Oligomenorrhea
10013326	C0851493	Menstrual cycle and uterine bleeding disorders	10027313	2	D008595	Menorrhagia
10013355	C0851498	Penile and scrotal disorders (excl infections and inflammations)	10034308	1	D010412	Penile Neoplasms
10013356	C0851491	Sexual function and fertility disorders	10036596	2	D061686	Premature Ejaculation
10013356	C0851491	Sexual function and fertility disorders	10036661	2	D011317	Priapism
10013356	C0851491	Sexual function and fertility disorders	10061461	2	D007172	Erectile Dysfunction
10013356	C0851491	Sexual function and fertility disorders	10012205	2	D011628	"Puberty, Delayed"
10013356	C0851491	Sexual function and fertility disorders	10013941	2	D004414	Dyspareunia
10013356	C0851491	Sexual function and fertility disorders	10021926	2	D007246	Infertility
10013356	C0851491	Sexual function and fertility disorders	10021928	2	D007247	"Infertility, Female"
10013356	C0851491	Sexual function and fertility disorders	10021929	2	D007248	"Infertility, Male"
10013356	C0851491	Sexual function and fertility disorders	10024419	2	D007989	Libido
10013356	C0851491	Sexual function and fertility disorders	10031085	2	D020018	"Sexual Dysfunctions, Psychological"
10013356	C0851491	Sexual function and fertility disorders	10052032	2	D005359	"Fibrous Dysplasia, Polyostotic"
10013356	C0851491	Sexual function and fertility disorders	10052649	2	D007006	Hypogonadism
10013356	C0851491	Sexual function and fertility disorders	10058084	2	D011629	"Puberty, Precocious"
10013356	C0851491	Sexual function and fertility disorders	10061630	2	D047808	Adrenogenital Syndrome
10013356	C0851491	Sexual function and fertility disorders	10065597	2	D017588	Hyperandrogenism
10013356	C0851491	Sexual function and fertility disorders	10067378	2	C537629	HAIR-AN syndrome
10013356	C0851491	Sexual function and fertility disorders	10069713	2	D002925	Ciliary Motility Disorders
10013356	C0851491	Sexual function and fertility disorders	10003495	2	D053714	Aspermia
10013356	C0851491	Sexual function and fertility disorders	10003883	2	D053713	Azoospermia
10013356	C0851491	Sexual function and fertility disorders	10018866	2	D051516	Hemospermia
10013356	C0851491	Sexual function and fertility disorders	10030300	2	D009845	Oligospermia
10013356	C0851491	Sexual function and fertility disorders	10050208	2	D000072660	Teratozoospermia
10013356	C0851491	Sexual function and fertility disorders	10063689	2	C536718	Young Syndrome
10013356	C0851491	Sexual function and fertility disorders	10067162	2	D053627	Asthenozoospermia
10013364	C0851499	Cervix disorders (excl infections and inflammations)	10029109	1	D002583	Uterine Cervical Neoplasms
10013511	C0851476	Disturbances in thinking and perception	10012259	1	D003702	Delusions
10013535	C1510475	Diverticulosis	10013535	0	D004240	Diverticulum
10014523	C0085307	Embolism and Thrombosis	10014523	0	D016769	Embolism and Thrombosis
10014701	C0851430	Endocrine disorders of gonadal function	10001928	2	D000568	Amenorrhea
10014701	C0851430	Endocrine disorders of gonadal function	10013908	2	D008796	Metrorrhagia
10014701	C0851430	Endocrine disorders of gonadal function	10020112	2	D006628	Hirsutism
10014701	C0851430	Endocrine disorders of gonadal function	10021033	2	D008599	Menstruation Disturbances
10014701	C0851430	Endocrine disorders of gonadal function	10030295	2	D009839	Oligomenorrhea
10014701	C0851430	Endocrine disorders of gonadal function	10033266	2	D016471	Ovarian Hyperstimulation Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10036049	2	D011085	Polycystic Ovary Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10036601	2	D008594	"Menopause, Premature"
10014701	C0851430	Endocrine disorders of gonadal function	10047486	2	D014770	Virilism
10014701	C0851430	Endocrine disorders of gonadal function	10081258	2	C562419	"Blepharophimosis, Ptosis, and Epicanthus Inversus"
10014701	C0851430	Endocrine disorders of gonadal function	10002641	2	C537770	Anorchia
10014701	C0851430	Endocrine disorders of gonadal function	10011498	2	D003456	Cryptorchidism
10014701	C0851430	Endocrine disorders of gonadal function	10015532	2	D005058	Eunuchism
10014701	C0851430	Endocrine disorders of gonadal function	10018800	2	D006177	Gynecomastia
10014701	C0851430	Endocrine disorders of gonadal function	10023463	2	D007713	Klinefelter Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10056292	2	D013734	Androgen-Insensitivity Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10066833	2	D054331	Sertoli Cell-Only Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10019906	2	D012734	Disorders of Sex Development
10014701	C0851430	Endocrine disorders of gonadal function	10037123	2	D058489	"46, XX Disorders of Sex Development"
10014701	C0851430	Endocrine disorders of gonadal function	10037124	2	D058490	"Disorder of Sex Development, 46,XY"
10014701	C0851430	Endocrine disorders of gonadal function	10045181	2	D014424	Turner Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10052649	2	D007006	Hypogonadism
10014701	C0851430	Endocrine disorders of gonadal function	10065597	2	D017588	Hyperandrogenism
10014701	C0851430	Endocrine disorders of gonadal function	10067572	2	D004967	Estrogens
10014701	C0851430	Endocrine disorders of gonadal function	10068168	2	D000505	Alopecia
10014701	C0851430	Endocrine disorders of gonadal function	10068871	2	D009223	Myotonic Dystrophy
10014701	C0851430	Endocrine disorders of gonadal function	10070179	2	D030321	Denys-Drash Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10080313	2	D052159	Frasier Syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10081352	2	C536665	Persistent Mullerian duct syndrome
10014701	C0851430	Endocrine disorders of gonadal function	10012205	2	D011628	"Puberty, Delayed"
10014701	C0851430	Endocrine disorders of gonadal function	10052032	2	D005359	"Fibrous Dysplasia, Polyostotic"
10014701	C0851430	Endocrine disorders of gonadal function	10058084	2	D011629	"Puberty, Precocious"
10014982	C0851422	Epidermal and dermal conditions	10010760	1	D003240	Connective Tissue Diseases
10014982	C0851422	Epidermal and dermal conditions	10015151	1	D004890	Erythema
10015732	C0851423	External ear disorders (excl congenital)	10033072	2	D010032	Otitis Externa
10015732	C0851423	External ear disorders (excl congenital)	10052557	2	D059249	Otomycosis
10015732	C0851423	External ear disorders (excl congenital)	10063491	2	D016697	Herpes Zoster Oticus
10015732	C0851423	External ear disorders (excl congenital)	10014002	2	D004426	"Ear Deformities, Acquired"
10015917	C0851397	Onemocn_n’ oka NEC in MDRCZE21_1_18_12_06	10072989	1	D007766	Lacrimal Apparatus Diseases
10016849	C0851390	Foetal complications	10006356	2	D001946	Breech Presentation
10016849	C0851390	Foetal complications	10058013	2	D007746	Labor Presentation
10016849	C0851390	Foetal complications	10016862	2	D048070	Fetal Nutrition Disorders
10016849	C0851390	Foetal complications	10053700	2	D005320	Fetal Macrosomia
10016849	C0851390	Foetal complications	10070531	2	D005317	Fetal Growth Retardation
10016849	C0851390	Foetal complications	10081684	2	C537934	Finnish lethal neonatal metabolic syndrome
10016849	C0851390	Foetal complications	10010688	2	D014428	"Twins, Conjoined"
10016849	C0851390	Foetal complications	10016855	2	D005316	Fetal Distress
10016849	C0851390	Foetal complications	10016871	2	D005331	Fetomaternal Transfusion
10016849	C0851390	Foetal complications	10020529	2	D015160	Hydrops Fetalis
10016849	C0851390	Foetal complications	10060919	2	D000013	Congenital Abnormalities
10016849	C0851390	Foetal complications	10061157	2	D005315	Fetal Diseases
10016849	C0851390	Foetal complications	10079701	2	C565682	"Amputation, Congenital"
10016849	C0851390	Foetal complications	10016845	2	D063647	Fetal Alcohol Spectrum Disorders
10016849	C0851390	Foetal complications	10051445	2	C536683	Warfarin syndrome
10016849	C0851390	Foetal complications	10073720	2	C535542	Isotretinoin embryopathy like syndrome
10016950	C0851483	Food intolerance syndromes	10009839	2	D002446	Celiac Disease
10016950	C0851483	Food intolerance syndromes	10025476	2	D008286	Malabsorption Syndromes
10016950	C0851483	Food intolerance syndromes	10061958	2	D000073923	Food Intolerance
10016950	C0851483	Food intolerance syndromes	10062907	2	D044483	Intestinal Polyposis
10016950	C0851483	Food intolerance syndromes	10017605	2	D005693	Galactosemias
10016950	C0851483	Food intolerance syndromes	10023681	2	D007787	Lactose Intolerance
10016950	C0851483	Food intolerance syndromes	10072104	2	D005633	Fructose Intolerance
10017322	C0016658	Fracture	10017322	0	D050723	"Fractures, Bone"
10017528	C0026946	Mycoses	10017528	0	D009181	Mycoses
10017628	C0016977	Gall Bladder Diseases	10017628	0	D005705	Gallbladder Diseases
10017934	C0497538	Benign digestive system neoplasms	10017817	2	C562464	"Polyposis, Gastric"
10017934	C0497538	Benign digestive system neoplasms	10048616	2	D007417	Intestinal Polyps
10017934	C0497538	Benign digestive system neoplasms	10079063	2	D004934	Esophageal Cyst
10017934	C0497538	Benign digestive system neoplasms	10018288	2	D005882	Gingival Diseases
10017934	C0497538	Benign digestive system neoplasms	10037649	2	D017789	"Granuloma, Pyogenic"
10017934	C0497538	Benign digestive system neoplasms	10062564	2	D002485	Cementoma
10017934	C0497538	Benign digestive system neoplasms	10066796	2	D000564	Ameloblastoma
10017934	C0497538	Benign digestive system neoplasms	10070460	2	D000235	Adenolymphoma
10017934	C0497538	Benign digestive system neoplasms	10072666	2	D053529	"Leukokeratosis, Hereditary Mucosal"
10017934	C0497538	Benign digestive system neoplasms	10073372	2	D008949	"Adenoma, Pleomorphic"
10018008	C0851467	Gastrointestinal stenosis and obstruction	10002120	2	D001006	"Anus, Imperforate"
10018008	C0851467	Gastrointestinal stenosis and obstruction	10002581	2	D000071056	Anorectal Malformations
10018008	C0851467	Gastrointestinal stenosis and obstruction	10010626	2	C538260	Atresia of small intestine
10018008	C0851467	Gastrointestinal stenosis and obstruction	10013812	2	C535720	Familial duodenal atresia
10018008	C0851467	Gastrointestinal stenosis and obstruction	10013830	2	D004380	Duodenal Obstruction
10018008	C0851467	Gastrointestinal stenosis and obstruction	10027058	2	D000074270	Meconium Ileus
10018008	C0851467	Gastrointestinal stenosis and obstruction	10054156	2	D013478	Superior Mesenteric Artery Syndrome
10018008	C0851467	Gastrointestinal stenosis and obstruction	10056245	2	D000343	Afferent Loop Syndrome
10018008	C0851467	Gastrointestinal stenosis and obstruction	10037621	2	D011707	Pyloric Stenosis
10018008	C0851467	Gastrointestinal stenosis and obstruction	10052541	2	D013277	Stomach Volvulus
10018008	C0851467	Gastrointestinal stenosis and obstruction	10021328	2	D045823	Ileus
10018008	C0851467	Gastrointestinal stenosis and obstruction	10022687	2	D007415	Intestinal Obstruction
10018008	C0851467	Gastrointestinal stenosis and obstruction	10022863	2	D007443	Intussusception
10018008	C0851467	Gastrointestinal stenosis and obstruction	10028210	2	C562441	"Intestinal Atresia, Multiple"
10018008	C0851467	Gastrointestinal stenosis and obstruction	10047697	2	D045822	Intestinal Volvulus
10018008	C0851467	Gastrointestinal stenosis and obstruction	10062022	2	D007409	Intestinal Atresia
10018008	C0851467	Gastrointestinal stenosis and obstruction	10073456	2	C562563	Microcolon
10018008	C0851467	Gastrointestinal stenosis and obstruction	10021530	2	D004933	Esophageal Atresia
10018008	C0851467	Gastrointestinal stenosis and obstruction	10030194	2	D004940	Esophageal Stenosis
10018008	C0851467	Gastrointestinal stenosis and obstruction	10040664	2	D011004	Plummer-Vinson Syndrome
