"HLGT"	"gene"	"mesh_tr"	"HLGT_N"	"mesh_N"	"intersect_N"	"flag"
"abdominal hernias and other abdominal wall conditions"	"AVPR2"	"Receptors, Vasopressin"	"32021"	"3303"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"BDKRB1"	"Receptor, Bradykinin B1"	"32021"	"790"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"BDKRB2"	"Receptor, Bradykinin B2"	"32021"	"1473"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CACNA1B"	"Calcium Channels, N-Type"	"32021"	"1986"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CACNA1C"	"Calcium Channels, L-Type"	"32021"	"7327"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CCKAR"	"Receptor, Cholecystokinin A"	"32021"	"728"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CCKBR"	"Receptor, Cholecystokinin B"	"32021"	"984"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CHRM1"	"Receptor, Muscarinic M1"	"32021"	"1272"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CHRM2"	"Receptor, Muscarinic M2"	"32021"	"1442"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CHRM3"	"Receptor, Muscarinic M3"	"32021"	"1428"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CHRM4"	"Receptor, Muscarinic M4"	"32021"	"386"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CHRM5"	"Receptor, Muscarinic M5"	"32021"	"125"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CHRNA4"	"Receptors, Nicotinic"	"32021"	"14917"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CNR1"	"Receptor, Cannabinoid, CB1"	"32021"	"5259"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CRHR1"	"Receptors, Corticotropin-Releasing Hormone"	"32021"	"2903"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"CRHR2"	"Receptors, Corticotropin-Releasing Hormone"	"32021"	"2903"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"DPP4"	"Dipeptidyl Peptidase 4"	"32021"	"3665"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"DRD1"	"Receptors, Dopamine D1"	"32021"	"7121"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"DRD2"	"Receptors, Dopamine D2"	"32021"	"14244"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"DRD3"	"Receptors, Dopamine D3"	"32021"	"2466"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"DRD4"	"Receptors, Dopamine D4"	"32021"	"1711"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"DRD5"	"Receptors, Dopamine D5"	"32021"	"424"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"EDNRA"	"Receptor, Endothelin A"	"32021"	"2741"	"10"	FALSE
"abdominal hernias and other abdominal wall conditions"	"EDNRB"	"Receptor, Endothelin B"	"32021"	"2261"	"6"	FALSE
"abdominal hernias and other abdominal wall conditions"	"EGFR"	"ErbB Receptors"	"32021"	"59011"	"2"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ERBB2"	"Receptor, ErbB-2"	"32021"	"23142"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ESR1"	"Estrogen Receptor alpha"	"32021"	"11894"	"2"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ESR2"	"Estrogen Receptor beta"	"32021"	"5494"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"F2"	"Thrombin"	"32021"	"26263"	"5"	FALSE
"abdominal hernias and other abdominal wall conditions"	"GABBR1"	"Receptors, GABA-B"	"32021"	"2783"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"GABRA1"	"Receptors, GABA-A"	"32021"	"18704"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"GCGR"	"Receptors, Glucagon"	"32021"	"2352"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"GHSR"	"Receptors, Ghrelin"	"32021"	"1447"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"GIPR"	"Receptors, Gastrointestinal Hormone"	"32021"	"8704"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"32021"	"26904"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HCAR2"	"Receptors, Nicotinic"	"32021"	"14917"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HRH1"	"Receptors, Histamine H1"	"32021"	"2208"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HRH2"	"Receptors, Histamine H2"	"32021"	"1864"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HRH3"	"Receptors, Histamine H3"	"32021"	"1275"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HTR1A"	"Receptor, Serotonin, 5-HT1A"	"32021"	"2707"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HTR1B"	"Receptor, Serotonin, 5-HT1B"	"32021"	"1187"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"32021"	"3015"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"32021"	"424"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HTR2C"	"Receptor, Serotonin, 5-HT2C"	"32021"	"1499"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"32021"	"1657"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"KCNH2"	"ERG1 Potassium Channel"	"32021"	"1772"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"KCNJ11"	"KATP Channels"	"32021"	"2844"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"KCNQ1"	"KCNQ1 Potassium Channel"	"32021"	"1304"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"32021"	"6442"	"3"	FALSE
"abdominal hernias and other abdominal wall conditions"	"MAOA"	"Monoamine Oxidase"	"32021"	"11015"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"MAOB"	"Monoamine Oxidase"	"32021"	"11015"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"MC3R"	"Receptor, Melanocortin, Type 3"	"32021"	"458"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"MC4R"	"Receptor, Melanocortin, Type 4"	"32021"	"1576"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"MLNR"	"Receptors, Gastrointestinal Hormone"	"32021"	"8704"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"NPY1R"	"Receptors, Neuropeptide Y"	"32021"	"2372"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"NPY2R"	"Receptors, Neuropeptide Y"	"32021"	"2372"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"NR1H2"	"Liver X Receptors"	"32021"	"2568"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"NR1H3"	"Liver X Receptors"	"32021"	"2568"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"NR1I2"	"Pregnane X Receptor"	"32021"	"1618"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"NR3C1"	"Receptors, Glucocorticoid"	"32021"	"12736"	"5"	FALSE
"abdominal hernias and other abdominal wall conditions"	"NTSR1"	"Receptors, Neurotensin"	"32021"	"1049"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"OPRD1"	"Receptors, Opioid, delta"	"32021"	"4485"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"OPRK1"	"Receptors, Opioid, kappa"	"32021"	"4556"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"OPRM1"	"Receptors, Opioid, mu"	"32021"	"8769"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"32021"	"855"	"0"	TRUE
"abdominal hernias and other abdominal wall conditions"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"32021"	"1839"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PDE6B"	"Cyclic Nucleotide Phosphodiesterases, Type 6"	"32021"	"470"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PGR"	"Receptors, Progesterone"	"32021"	"18606"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PPARA"	"PPAR alpha"	"32021"	"4297"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PPARD"	"PPAR delta"	"32021"	"1121"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PPARG"	"PPAR gamma"	"32021"	"12108"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PTGER1"	"Receptors, Prostaglandin E, EP1 Subtype"	"32021"	"437"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PTGER2"	"Receptors, Prostaglandin E, EP2 Subtype"	"32021"	"812"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PTGER3"	"Receptors, Prostaglandin E, EP3 Subtype"	"32021"	"531"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PTGER4"	"Receptors, Prostaglandin E, EP4 Subtype"	"32021"	"1036"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PTGS1"	"Cyclooxygenase 1"	"32021"	"4933"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"PTGS2"	"Cyclooxygenase 2"	"32021"	"22509"	"8"	FALSE
"abdominal hernias and other abdominal wall conditions"	"SCN2A"	"NAV1.2 Voltage-Gated Sodium Channel"	"32021"	"346"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"32021"	"1523"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"SLC18A2"	"Vesicular Monoamine Transport Proteins"	"32021"	"1069"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"32021"	"480"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"SLC6A2"	"Norepinephrine Plasma Membrane Transport Proteins"	"32021"	"1388"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"32021"	"5639"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"SLC6A4"	"Serotonin Plasma Membrane Transport Proteins"	"32021"	"6470"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"TACR1"	"Receptors, Neurokinin-1"	"32021"	"3342"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"TACR2"	"Receptors, Neurokinin-2"	"32021"	"1108"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"32021"	"592"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"THRA"	"Thyroid Hormone Receptors alpha"	"32021"	"506"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"THRB"	"Thyroid Hormone Receptors beta"	"32021"	"748"	"0"	FALSE
"abortions and stillbirth"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"34345"	"554"	"0"	FALSE
"abortions and stillbirth"	"ACHE"	"Acetylcholinesterase"	"34345"	"21600"	"5"	FALSE
"abortions and stillbirth"	"ADORA1"	"Receptor, Adenosine A1"	"34345"	"1347"	"2"	FALSE
"abortions and stillbirth"	"ADORA2A"	"Receptor, Adenosine A2A"	"34345"	"2325"	"1"	FALSE
"abortions and stillbirth"	"ADORA3"	"Receptor, Adenosine A3"	"34345"	"746"	"0"	FALSE
"abortions and stillbirth"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"34345"	"3624"	"0"	FALSE
"abortions and stillbirth"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"34345"	"3568"	"1"	FALSE
"abortions and stillbirth"	"ADRA2B"	"Receptors, Adrenergic, alpha-2"	"34345"	"3568"	"1"	FALSE
"abortions and stillbirth"	"ADRA2C"	"Receptors, Adrenergic, alpha-2"	"34345"	"3568"	"1"	FALSE
"abortions and stillbirth"	"ADRB1"	"Receptors, Adrenergic, beta-1"	"34345"	"1926"	"1"	FALSE
"abortions and stillbirth"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"34345"	"4272"	"3"	FALSE
"abortions and stillbirth"	"ADRB3"	"Receptors, Adrenergic, beta-3"	"34345"	"1397"	"0"	FALSE
"abortions and stillbirth"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"34345"	"6781"	"3"	FALSE
"abortions and stillbirth"	"AR"	"Receptors, Androgen"	"34345"	"14984"	"13"	FALSE
"abortions and stillbirth"	"ATM"	"Ataxia Telangiectasia Mutated Proteins"	"34345"	"5371"	"3"	FALSE
"abortions and stillbirth"	"ATR"	"Ataxia Telangiectasia Mutated Proteins"	"34345"	"5371"	"3"	FALSE
"abortions and stillbirth"	"AVPR1A"	"Receptors, Vasopressin"	"34345"	"3303"	"1"	FALSE
"abortions and stillbirth"	"AVPR2"	"Receptors, Vasopressin"	"34345"	"3303"	"1"	FALSE
"abortions and stillbirth"	"BDKRB1"	"Receptor, Bradykinin B1"	"34345"	"790"	"0"	FALSE
"abortions and stillbirth"	"BDKRB2"	"Receptor, Bradykinin B2"	"34345"	"1473"	"0"	FALSE
"abortions and stillbirth"	"CACNA1B"	"Calcium Channels, N-Type"	"34345"	"1986"	"0"	FALSE
"abortions and stillbirth"	"CACNA1C"	"Calcium Channels, L-Type"	"34345"	"7327"	"0"	FALSE
"abortions and stillbirth"	"CCKAR"	"Receptor, Cholecystokinin A"	"34345"	"728"	"0"	FALSE
"abortions and stillbirth"	"CCKBR"	"Receptor, Cholecystokinin B"	"34345"	"984"	"0"	FALSE
"abortions and stillbirth"	"CHRM1"	"Receptor, Muscarinic M1"	"34345"	"1272"	"0"	FALSE
"abortions and stillbirth"	"CHRM2"	"Receptor, Muscarinic M2"	"34345"	"1442"	"0"	FALSE
"abortions and stillbirth"	"CHRM3"	"Receptor, Muscarinic M3"	"34345"	"1428"	"0"	FALSE
"abortions and stillbirth"	"CHRM4"	"Receptor, Muscarinic M4"	"34345"	"386"	"0"	FALSE
"abortions and stillbirth"	"CHRM5"	"Receptor, Muscarinic M5"	"34345"	"125"	"0"	FALSE
"abortions and stillbirth"	"CHRNA4"	"Receptors, Nicotinic"	"34345"	"14917"	"1"	FALSE
"abortions and stillbirth"	"CNR1"	"Receptor, Cannabinoid, CB1"	"34345"	"5259"	"5"	FALSE
"abortions and stillbirth"	"CRHR1"	"Receptors, Corticotropin-Releasing Hormone"	"34345"	"2903"	"0"	FALSE
"abortions and stillbirth"	"CRHR2"	"Receptors, Corticotropin-Releasing Hormone"	"34345"	"2903"	"0"	FALSE
"abortions and stillbirth"	"DPP4"	"Dipeptidyl Peptidase 4"	"34345"	"3665"	"4"	FALSE
"abortions and stillbirth"	"DRD1"	"Receptors, Dopamine D1"	"34345"	"7121"	"0"	FALSE
"abortions and stillbirth"	"DRD2"	"Receptors, Dopamine D2"	"34345"	"14244"	"1"	FALSE
"abortions and stillbirth"	"DRD3"	"Receptors, Dopamine D3"	"34345"	"2466"	"0"	FALSE
"abortions and stillbirth"	"DRD4"	"Receptors, Dopamine D4"	"34345"	"1711"	"0"	FALSE
"abortions and stillbirth"	"DRD5"	"Receptors, Dopamine D5"	"34345"	"424"	"0"	FALSE
"abortions and stillbirth"	"EDNRA"	"Receptor, Endothelin A"	"34345"	"2741"	"1"	FALSE
"abortions and stillbirth"	"EDNRB"	"Receptor, Endothelin B"	"34345"	"2261"	"2"	FALSE
"abortions and stillbirth"	"EGFR"	"ErbB Receptors"	"34345"	"59011"	"9"	FALSE
"abortions and stillbirth"	"ERBB2"	"Receptor, ErbB-2"	"34345"	"23142"	"4"	FALSE
"abortions and stillbirth"	"ESR1"	"Estrogen Receptor alpha"	"34345"	"11894"	"15"	FALSE
"abortions and stillbirth"	"ESR2"	"Estrogen Receptor beta"	"34345"	"5494"	"8"	FALSE
"abortions and stillbirth"	"F2"	"Thrombin"	"34345"	"26263"	"28"	FALSE
"abortions and stillbirth"	"GABBR1"	"Receptors, GABA-B"	"34345"	"2783"	"0"	FALSE
"abortions and stillbirth"	"GABRA1"	"Receptors, GABA-A"	"34345"	"18704"	"1"	FALSE
"abortions and stillbirth"	"GCGR"	"Receptors, Glucagon"	"34345"	"2352"	"0"	FALSE
"abortions and stillbirth"	"GHSR"	"Receptors, Ghrelin"	"34345"	"1447"	"1"	FALSE
"abortions and stillbirth"	"GIPR"	"Receptors, Gastrointestinal Hormone"	"34345"	"8704"	"1"	FALSE
"abortions and stillbirth"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"34345"	"26904"	"0"	FALSE
"abortions and stillbirth"	"HCAR2"	"Receptors, Nicotinic"	"34345"	"14917"	"1"	FALSE
"abortions and stillbirth"	"HRH1"	"Receptors, Histamine H1"	"34345"	"2208"	"0"	FALSE
"abortions and stillbirth"	"HRH2"	"Receptors, Histamine H2"	"34345"	"1864"	"0"	FALSE
"abortions and stillbirth"	"HRH3"	"Receptors, Histamine H3"	"34345"	"1275"	"0"	FALSE
"abortions and stillbirth"	"HTR1A"	"Receptor, Serotonin, 5-HT1A"	"34345"	"2707"	"1"	FALSE
"abortions and stillbirth"	"HTR1B"	"Receptor, Serotonin, 5-HT1B"	"34345"	"1187"	"0"	FALSE
"abortions and stillbirth"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"34345"	"3015"	"0"	FALSE
"abortions and stillbirth"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"34345"	"424"	"0"	FALSE
"abortions and stillbirth"	"HTR2C"	"Receptor, Serotonin, 5-HT2C"	"34345"	"1499"	"0"	FALSE
"abortions and stillbirth"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"34345"	"1657"	"0"	FALSE
"abortions and stillbirth"	"KCNH2"	"ERG1 Potassium Channel"	"34345"	"1772"	"0"	FALSE
"abortions and stillbirth"	"KCNJ11"	"KATP Channels"	"34345"	"2844"	"1"	FALSE
"abortions and stillbirth"	"KCNQ1"	"KCNQ1 Potassium Channel"	"34345"	"1304"	"1"	FALSE
"abortions and stillbirth"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"34345"	"6442"	"9"	FALSE
"abortions and stillbirth"	"MAOA"	"Monoamine Oxidase"	"34345"	"11015"	"3"	FALSE
"abortions and stillbirth"	"MAOB"	"Monoamine Oxidase"	"34345"	"11015"	"3"	FALSE
"abortions and stillbirth"	"MC3R"	"Receptor, Melanocortin, Type 3"	"34345"	"458"	"0"	FALSE
"abortions and stillbirth"	"MC4R"	"Receptor, Melanocortin, Type 4"	"34345"	"1576"	"0"	FALSE
"abortions and stillbirth"	"MLNR"	"Receptors, Gastrointestinal Hormone"	"34345"	"8704"	"1"	FALSE
"abortions and stillbirth"	"NPY1R"	"Receptors, Neuropeptide Y"	"34345"	"2372"	"0"	FALSE
"abortions and stillbirth"	"NPY2R"	"Receptors, Neuropeptide Y"	"34345"	"2372"	"0"	FALSE
"abortions and stillbirth"	"NR1H2"	"Liver X Receptors"	"34345"	"2568"	"1"	FALSE
"abortions and stillbirth"	"NR1H3"	"Liver X Receptors"	"34345"	"2568"	"1"	FALSE
"abortions and stillbirth"	"NR1I2"	"Pregnane X Receptor"	"34345"	"1618"	"0"	FALSE
"abortions and stillbirth"	"NR3C1"	"Receptors, Glucocorticoid"	"34345"	"12736"	"4"	FALSE
"abortions and stillbirth"	"NTSR1"	"Receptors, Neurotensin"	"34345"	"1049"	"0"	FALSE
"abortions and stillbirth"	"OPRD1"	"Receptors, Opioid, delta"	"34345"	"4485"	"0"	FALSE
"abortions and stillbirth"	"OPRK1"	"Receptors, Opioid, kappa"	"34345"	"4556"	"0"	FALSE
"abortions and stillbirth"	"OPRM1"	"Receptors, Opioid, mu"	"34345"	"8769"	"0"	FALSE
"abortions and stillbirth"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"34345"	"855"	"0"	TRUE
"abortions and stillbirth"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"34345"	"1839"	"0"	FALSE
"abortions and stillbirth"	"PDE6B"	"Cyclic Nucleotide Phosphodiesterases, Type 6"	"34345"	"470"	"0"	FALSE
"abortions and stillbirth"	"PGR"	"Receptors, Progesterone"	"34345"	"18606"	"67"	FALSE
"abortions and stillbirth"	"PPARA"	"PPAR alpha"	"34345"	"4297"	"4"	FALSE
"abortions and stillbirth"	"PPARD"	"PPAR delta"	"34345"	"1121"	"0"	FALSE
"abortions and stillbirth"	"PPARG"	"PPAR gamma"	"34345"	"12108"	"8"	FALSE
"abortions and stillbirth"	"PTGER1"	"Receptors, Prostaglandin E, EP1 Subtype"	"34345"	"437"	"0"	FALSE
"abortions and stillbirth"	"PTGER2"	"Receptors, Prostaglandin E, EP2 Subtype"	"34345"	"812"	"1"	FALSE
"abortions and stillbirth"	"PTGER3"	"Receptors, Prostaglandin E, EP3 Subtype"	"34345"	"531"	"0"	FALSE
"abortions and stillbirth"	"PTGER4"	"Receptors, Prostaglandin E, EP4 Subtype"	"34345"	"1036"	"0"	FALSE
"abortions and stillbirth"	"PTGS1"	"Cyclooxygenase 1"	"34345"	"4933"	"0"	FALSE
"abortions and stillbirth"	"PTGS2"	"Cyclooxygenase 2"	"34345"	"22509"	"13"	FALSE
"abortions and stillbirth"	"SCN2A"	"NAV1.2 Voltage-Gated Sodium Channel"	"34345"	"346"	"0"	FALSE
"abortions and stillbirth"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"34345"	"1523"	"0"	FALSE
"abortions and stillbirth"	"SLC18A2"	"Vesicular Monoamine Transport Proteins"	"34345"	"1069"	"1"	FALSE
"abortions and stillbirth"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"34345"	"480"	"0"	FALSE
"abortions and stillbirth"	"SLC6A2"	"Norepinephrine Plasma Membrane Transport Proteins"	"34345"	"1388"	"0"	FALSE
"abortions and stillbirth"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"34345"	"5639"	"0"	FALSE
"abortions and stillbirth"	"SLC6A4"	"Serotonin Plasma Membrane Transport Proteins"	"34345"	"6470"	"1"	FALSE
"abortions and stillbirth"	"TACR1"	"Receptors, Neurokinin-1"	"34345"	"3342"	"0"	FALSE
"abortions and stillbirth"	"TACR2"	"Receptors, Neurokinin-2"	"34345"	"1108"	"0"	FALSE
"abortions and stillbirth"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"34345"	"592"	"0"	FALSE
"abortions and stillbirth"	"THRA"	"Thyroid Hormone Receptors alpha"	"34345"	"506"	"0"	FALSE
"abortions and stillbirth"	"THRB"	"Thyroid Hormone Receptors beta"	"34345"	"748"	"0"	FALSE
"acid-base disorders"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"3146"	"554"	"0"	FALSE
"acid-base disorders"	"ACHE"	"Acetylcholinesterase"	"3146"	"21600"	"1"	FALSE
"acid-base disorders"	"ADORA1"	"Receptor, Adenosine A1"	"3146"	"1347"	"0"	FALSE
"acid-base disorders"	"ADORA2A"	"Receptor, Adenosine A2A"	"3146"	"2325"	"0"	FALSE
"acid-base disorders"	"ADORA3"	"Receptor, Adenosine A3"	"3146"	"746"	"0"	FALSE
"acid-base disorders"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"3146"	"3624"	"0"	FALSE
"acid-base disorders"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"3146"	"3568"	"0"	FALSE
"acid-base disorders"	"ADRA2B"	"Receptors, Adrenergic, alpha-2"	"3146"	"3568"	"0"	FALSE
"acid-base disorders"	"ADRA2C"	"Receptors, Adrenergic, alpha-2"	"3146"	"3568"	"0"	FALSE
"acid-base disorders"	"ADRB1"	"Receptors, Adrenergic, beta-1"	"3146"	"1926"	"0"	FALSE
"acid-base disorders"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"3146"	"4272"	"0"	FALSE
"acid-base disorders"	"ADRB3"	"Receptors, Adrenergic, beta-3"	"3146"	"1397"	"0"	FALSE
"acid-base disorders"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"3146"	"6781"	"0"	FALSE
"acid-base disorders"	"AR"	"Receptors, Androgen"	"3146"	"14984"	"0"	FALSE
"acid-base disorders"	"ATM"	"Ataxia Telangiectasia Mutated Proteins"	"3146"	"5371"	"0"	FALSE
"acid-base disorders"	"ATR"	"Ataxia Telangiectasia Mutated Proteins"	"3146"	"5371"	"0"	FALSE
"acid-base disorders"	"AVPR1A"	"Receptors, Vasopressin"	"3146"	"3303"	"0"	FALSE
"acid-base disorders"	"AVPR2"	"Receptors, Vasopressin"	"3146"	"3303"	"0"	FALSE
"acid-base disorders"	"BDKRB1"	"Receptor, Bradykinin B1"	"3146"	"790"	"0"	FALSE
