X	SOC	"MedDRA term name (mangled, from R)"	MedDRA term name	MedDRA ID	UMLS concept CUI for ADR	UMLS concept name for ADR	target	Entrez Gene Symbol for target	MeSH term for target
51	eye disorders	ocular neuromuscular disorders	ocular neuromuscular disorders	10030061	C0851416	Ocular neuromuscular disorders	5HT3	HTR3A	"Receptors, Serotonin, 5-HT3"
53	eye disorders	ocular neuromuscular disorders	ocular neuromuscular disorders	10030061	C0851416	Ocular neuromuscular disorders	r BZD	GABRA1	"Receptors, GABA-A"
265	eye disorders	ocular sensory symptoms nec	ocular sensory symptoms nec	10030064	C0851399	Ocular sensory symptoms NEC	PR Binding	PGR	"Receptors, Progesterone"
55	eye disorders	ocular structural change  deposit and degeneration nec	"ocular structural change, deposit and degeneration nec"	10042261	C0851441	"Ocular structural change, deposit and degeneration NEC"	PR Binding	PGR	"Receptors, Progesterone"
58	eye disorders	vision disorders	vision disorders	10047518	C0042790	Vision Disorders	PR Binding	PGR	"Receptors, Progesterone"
59	gastrointestinal disorders	abdominal hernias and other abdominal wall conditions	abdominal hernias and other abdominal wall conditions	10000073	C0851381	Abdominal hernias and other abdominal wall conditions	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
267	gastrointestinal disorders	benign neoplasms gastrointestinal	benign neoplasms gastrointestinal	10017934	C0497538	Benign digestive system neoplasms	5HT2B Binding	HTR2B	"Receptor, Serotonin, 5-HT2B"
62	gastrointestinal disorders	benign neoplasms gastrointestinal	benign neoplasms gastrointestinal	10017934	C0497538	Benign digestive system neoplasms	AT1	AGTR1	"Receptor, Angiotensin, Type 1"
63	gastrointestinal disorders	benign neoplasms gastrointestinal	benign neoplasms gastrointestinal	10017934	C0497538	Benign digestive system neoplasms	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
64	gastrointestinal disorders	dental and gingival conditions	dental and gingival conditions	10044018	C0947773	Dental and gingival conditions	AdT	SLC29A1	Equilibrative Nucleoside Transporter 1
65	gastrointestinal disorders	dental and gingival conditions	dental and gingival conditions	10044018	C0947773	Dental and gingival conditions	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
67	gastrointestinal disorders	diverticular disorders	diverticular disorders	10013535	C1510475	Diverticulosis	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
71	gastrointestinal disorders	gastrointestinal stenosis and obstruction	gastrointestinal stenosis and obstruction	10018008	C0851467	Gastrointestinal stenosis and obstruction	Ad3	ADORA3	"Receptor, Adenosine A3"
270	gastrointestinal disorders	gastrointestinal stenosis and obstruction	gastrointestinal stenosis and obstruction	10018008	C0851467	Gastrointestinal stenosis and obstruction	KDR	KDR	Vascular Endothelial Growth Factor Receptor-2
72	gastrointestinal disorders	gastrointestinal stenosis and obstruction	gastrointestinal stenosis and obstruction	10018008	C0851467	Gastrointestinal stenosis and obstruction	hERG QP	KCNH2	ERG1 Potassium Channel
342	gastrointestinal disorders	gastrointestinal ulceration and perforation	gastrointestinal ulceration and perforation	10018027	C0858346	Gastrointestinal ulcer perforation	AdT	SLC29A1	Equilibrative Nucleoside Transporter 1
73	gastrointestinal disorders	gastrointestinal ulceration and perforation	gastrointestinal ulceration and perforation	10018027	C0858346	Gastrointestinal ulcer perforation	PR Binding	PGR	"Receptors, Progesterone"
74	gastrointestinal disorders	gastrointestinal vascular conditions	gastrointestinal vascular conditions	10018031	C0851471	Gastrointestinal vascular conditions	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
76	gastrointestinal disorders	malabsorption conditions	malabsorption conditions	10025477	C0851559	Malabsorption conditions	ACES	ACHE	Acetylcholinesterase
77	gastrointestinal disorders	malabsorption conditions	malabsorption conditions	10025477	C0851559	Malabsorption conditions	AT1	AGTR1	"Receptor, Angiotensin, Type 1"
390	gastrointestinal disorders	malabsorption conditions	malabsorption conditions	10025477	C0851559	Malabsorption conditions	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
274	gastrointestinal disorders	peritoneal and retroperitoneal conditions	peritoneal and retroperitoneal conditions	10034652	C0851466	Peritoneal and retroperitoneal conditions	AR Binding	AR	"Receptors, Androgen"
275	gastrointestinal disorders	salivary gland conditions	salivary gland conditions	10039404	C0851532	Salivary gland conditions	M1 Antagonism	CHRM1	"Receptor, Muscarinic M1"
344	gastrointestinal disorders	salivary gland conditions	salivary gland conditions	10039404	C0851532	Salivary gland conditions	Nav1 5 Quattro	SCN5A	NAV1.5 Voltage-Gated Sodium Channel
79	gastrointestinal disorders	tongue conditions	tongue conditions	10043946	C0851542	Tongue conditions	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
80	hepatobiliary disorders	bile duct disorders	bile duct disorders	10004606	C0005395	Bile Duct Diseases	5HT2B Antagonism	HTR2B	"Receptor, Serotonin, 5-HT2B"
277	hepatobiliary disorders	bile duct disorders	bile duct disorders	10004606	C0005395	Bile Duct Diseases	5HT2B Binding	HTR2B	"Receptor, Serotonin, 5-HT2B"
81	hepatobiliary disorders	bile duct disorders	bile duct disorders	10004606	C0005395	Bile Duct Diseases	AdT	SLC29A1	Equilibrative Nucleoside Transporter 1
82	hepatobiliary disorders	gallbladder disorders	gallbladder disorders	10017628	C0016977	Gall Bladder Diseases	Ad3	ADORA3	"Receptor, Adenosine A3"
84	hepatobiliary disorders	hepatic and hepatobiliary disorders	hepatic and hepatobiliary disorders	10019654	C0947747	Hepatic and hepatobiliary disorders	hERG Binding	KCNH2	ERG1 Potassium Channel
279	hepatobiliary disorders	hepatobiliary neoplasms	hepatobiliary neoplasms	10019811	C0854196	Hepatobiliary neoplasm	GABAA Binding	GABRA1	"Receptors, GABA-A"
280	hepatobiliary disorders	hepatobiliary neoplasms	hepatobiliary neoplasms	10019811	C0854196	Hepatobiliary neoplasm	r PCP	GRIN1	"Receptors, N-Methyl-D-Aspartate"
85	immune system disorders	allergic conditions	allergic conditions	10001708	C0851444	Allergic condition	hERG Binding	KCNH2	ERG1 Potassium Channel
86	immune system disorders	immune disorders nec	immune disorders nec	10027665	C0947760	Immune disorders NEC	MAO A	MAOA	Monoamine Oxidase
281	immune system disorders	immune disorders nec	immune disorders nec	10027665	C0947760	Immune disorders NEC	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
87	immune system disorders	immune disorders nec	immune disorders nec	10027665	C0947760	Immune disorders NEC	PR Binding	PGR	"Receptors, Progesterone"
88	immune system disorders	immunodeficiency syndromes	immunodeficiency syndromes	10021460	C0021051	Immunologic Deficiency Syndromes	GR Binding	NR3C1	"Receptors, Glucocorticoid"
89	infections and infestations	bacterial infectious disorders	bacterial infectious disorders	10004018	C0004623	Bacterial Infections	AR Binding	AR	"Receptors, Androgen"
92	infections and infestations	fungal infectious disorders	fungal infectious disorders	10017528	C0026946	Mycoses	Al1A Binding	ADRA1A	"Receptors, Adrenergic, alpha-1"
93	infections and infestations	fungal infectious disorders	fungal infectious disorders	10017528	C0026946	Mycoses	GR Binding	NR3C1	"Receptors, Glucocorticoid"
95	infections and infestations	fungal infectious disorders	fungal infectious disorders	10017528	C0026946	Mycoses	PR Binding	PGR	"Receptors, Progesterone"
283	infections and infestations	infections   pathogen class unspecified	infections - pathogen class unspecified	10021879	C0851439	Infections - pathogen unspecified	hERG Binding	KCNH2	ERG1 Potassium Channel
98	infections and infestations	mycobacterial infectious disorders	mycobacterial infectious disorders	10028440	C0947738	Mycobacterial infectious disorders	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
99	infections and infestations	mycobacterial infectious disorders	mycobacterial infectious disorders	10028440	C0947738	Mycobacterial infectious disorders	PR Binding	PGR	"Receptors, Progesterone"
101	infections and infestations	protozoal infectious disorders	protozoal infectious disorders	10037072	C0033740	Protozoan Infections	AdT	SLC29A1	Equilibrative Nucleoside Transporter 1
352	metabolism and nutrition disorders	acid base disorders	acid-base disorders	10000485	C0740265	Acid-base disorders	5HT2B Antagonism	HTR2B	"Receptor, Serotonin, 5-HT2B"
103	metabolism and nutrition disorders	bone  calcium  magnesium and phosphorus metabolism disorders	"bone, calcium, magnesium and phosphorus metabolism disorders"	10013296	C0851436	"Bone, calcium, magnesium and phosphorus metabolism disorders"	5HT2B Antagonism	HTR2B	"Receptor, Serotonin, 5-HT2B"
284	metabolism and nutrition disorders	bone  calcium  magnesium and phosphorus metabolism disorders	"bone, calcium, magnesium and phosphorus metabolism disorders"	10013296	C0851436	"Bone, calcium, magnesium and phosphorus metabolism disorders"	DAT	SLC6A3	Dopamine Plasma Membrane Transport Proteins
105	metabolism and nutrition disorders	diabetic complications	diabetic complications	10012653	C0342257	Complications of Diabetes Mellitus	Al2A Binding	ADRA2A	"Receptors, Adrenergic, alpha-2"
106	metabolism and nutrition disorders	food intolerance syndromes	food intolerance syndromes	10016950	C0851483	Food intolerance syndromes	AT1	AGTR1	"Receptor, Angiotensin, Type 1"
107	metabolism and nutrition disorders	glucose metabolism disorders  incl diabetes mellitus 	glucose metabolism disorders (incl diabetes mellitus)	10018424	C0851431	Glucose metabolism disorders (incl diabetes mellitus)	PR Binding	PGR	"Receptors, Progesterone"
109	metabolism and nutrition disorders	lipid metabolism disorders	lipid metabolism disorders	10013317	C0154251	Lipid Metabolism Disorders	BSEP	ABCB11	"ATP Binding Cassette Transporter, Subfamily B, Member 11"
110	metabolism and nutrition disorders	lipid metabolism disorders	lipid metabolism disorders	10013317	C0154251	Lipid Metabolism Disorders	CB1 Binding	CNR1	"Receptor, Cannabinoid, CB1"
111	metabolism and nutrition disorders	lipid metabolism disorders	lipid metabolism disorders	10013317	C0154251	Lipid Metabolism Disorders	GR Binding	NR3C1	"Receptors, Glucocorticoid"
112	metabolism and nutrition disorders	lipid metabolism disorders	lipid metabolism disorders	10013317	C0154251	Lipid Metabolism Disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
113	metabolism and nutrition disorders	protein and amino acid metabolism disorders nec	protein and amino acid metabolism disorders nec	10037008	C0949004	Protein and amino acid metabolism disorders NEC	MAO A	MAOA	Monoamine Oxidase
396	metabolism and nutrition disorders	vitamin related disorders	vitamin related disorders	10047635	C0268657	Vitamin related disorders	Ad1	ADORA1	"Receptor, Adenosine A1"
116	metabolism and nutrition disorders	vitamin related disorders	vitamin related disorders	10047635	C0268657	Vitamin related disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
117	musculoskeletal and connective tissue disorders	bone disorders  excl congenital and fractures 	bone disorders (excl congenital and fractures)	10005959	C0851413	Bone disorders (excl congenital and fractures)	AR Binding	AR	"Receptors, Androgen"
118	musculoskeletal and connective tissue disorders	bone disorders  excl congenital and fractures 	bone disorders (excl congenital and fractures)	10005959	C0851413	Bone disorders (excl congenital and fractures)	GR Binding	NR3C1	"Receptors, Glucocorticoid"
119	musculoskeletal and connective tissue disorders	bone disorders  excl congenital and fractures 	bone disorders (excl congenital and fractures)	10005959	C0851413	Bone disorders (excl congenital and fractures)	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
120	musculoskeletal and connective tissue disorders	bone disorders  excl congenital and fractures 	bone disorders (excl congenital and fractures)	10005959	C0851413	Bone disorders (excl congenital and fractures)	PR Binding	PGR	"Receptors, Progesterone"
288	musculoskeletal and connective tissue disorders	connective tissue disorders  excl congenital 	connective tissue disorders (excl congenital)	10010761	C0851494	Connective tissue disorders (excl congenital)	ETb	EDNRB	"Receptor, Endothelin B"
121	musculoskeletal and connective tissue disorders	connective tissue disorders  excl congenital 	connective tissue disorders (excl congenital)	10010761	C0851494	Connective tissue disorders (excl congenital)	MAO A	MAOA	Monoamine Oxidase
356	musculoskeletal and connective tissue disorders	connective tissue disorders  excl congenital 	connective tissue disorders (excl congenital)	10010761	C0851494	Connective tissue disorders (excl congenital)	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
122	musculoskeletal and connective tissue disorders	connective tissue disorders  excl congenital 	connective tissue disorders (excl congenital)	10010761	C0851494	Connective tissue disorders (excl congenital)	PR Binding	PGR	"Receptors, Progesterone"
123	musculoskeletal and connective tissue disorders	fractures	fractures	10017322	C0016658	Fracture	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
289	musculoskeletal and connective tissue disorders	muscle disorders	muscle disorders	10028302	C0026848	Myopathy	hERG Binding	KCNH2	ERG1 Potassium Channel
124	musculoskeletal and connective tissue disorders	musculoskeletal and connective tissue deformities  incl intervertebral disc disorders 	musculoskeletal and connective tissue deformities (incl intervertebral disc disorders)	10028377	C0851529	Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders)	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
291	nervous system disorders	central nervous system infections and inflammations	central nervous system infections and inflammations	10007951	C0851412	Central nervous system infections and inflammations	ETa	EDNRA	"Receptor, Endothelin A"
125	nervous system disorders	central nervous system vascular disorders	central nervous system vascular disorders	10007963	C0851452	Central nervous system vascular disorders	BSEP	ABCB11	"ATP Binding Cassette Transporter, Subfamily B, Member 11"
360	nervous system disorders	increased intracranial pressure and hydrocephalus	increased intracranial pressure and hydrocephalus	10021666	C0876965	Increased intracranial pressure and hydrocephalus	Ad2a	ADORA2A	"Receptor, Adenosine A2A"
129	nervous system disorders	increased intracranial pressure and hydrocephalus	increased intracranial pressure and hydrocephalus	10021666	C0876965	Increased intracranial pressure and hydrocephalus	NT1	NTSR1	"Receptors, Neurotensin"
130	nervous system disorders	mental impairment disorders	mental impairment disorders	10057167	C1112722	Mental impairment disorders	r BZD	GABRA1	"Receptors, GABA-A"
400	nervous system disorders	movement disorders  incl parkinsonism 	movement disorders (incl parkinsonism)	10028037	C0851457	Movement disorders (incl parkinsonism)	hERG Binding	KCNH2	ERG1 Potassium Channel
131	nervous system disorders	neurological disorders nec	neurological disorders nec	10029305	C1112108	Neurological disorders NEC	hERG Binding	KCNH2	ERG1 Potassium Channel
132	nervous system disorders	neuromuscular disorders	neuromuscular disorders	10029317	C0027868	Neuromuscular Diseases	r BZD	GABRA1	"Receptors, GABA-A"
133	nervous system disorders	peripheral neuropathies	peripheral neuropathies	10034606	C4721453	Peripheral Nervous System Diseases	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
293	nervous system disorders	sleep disturbances  incl subtypes 	sleep disturbances (incl subtypes)	10040998	C0037317	Sleep disturbances	Al1A Agonism	ADRA1A	"Receptors, Adrenergic, alpha-1"
136	nervous system disorders	sleep disturbances  incl subtypes 	sleep disturbances (incl subtypes)	10040998	C0037317	Sleep disturbances	ETb	EDNRB	"Receptor, Endothelin B"
137	nervous system disorders	sleep disturbances  incl subtypes 	sleep disturbances (incl subtypes)	10040998	C0037317	Sleep disturbances	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
138	nervous system disorders	spinal cord and nerve root disorders	spinal cord and nerve root disorders	10041543	C0851475	Spinal cord and nerve root disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
139	nervous system disorders	spinal cord and nerve root disorders	spinal cord and nerve root disorders	10041543	C0851475	Spinal cord and nerve root disorders	PR Binding	PGR	"Receptors, Progesterone"
294	nervous system disorders	structural brain disorders	structural brain disorders	10042258	C0851391	Structural brain disorders	5HT2A Binding	HTR2A	"Receptor, Serotonin, 5-HT2A"
140	nervous system disorders	structural brain disorders	structural brain disorders	10042258	C0851391	Structural brain disorders	OpD	OPRD1	"Receptors, Opioid, delta"
141	nervous system disorders	structural brain disorders	structural brain disorders	10042258	C0851391	Structural brain disorders	r PCP	GRIN1	"Receptors, N-Methyl-D-Aspartate"
361	"pregnancy, puerperium and perinatal conditions"	abortions and stillbirth	abortions and stillbirth	10000211	C0851373	Abortions and stillbirth	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
142	"pregnancy, puerperium and perinatal conditions"	foetal complications	foetal complications	10016849	C0851390	Foetal complications	Ad2a	ADORA2A	"Receptor, Adenosine A2A"
144	"pregnancy, puerperium and perinatal conditions"	foetal complications	foetal complications	10016849	C0851390	Foetal complications	BSEP	ABCB11	"ATP Binding Cassette Transporter, Subfamily B, Member 11"
296	"pregnancy, puerperium and perinatal conditions"	maternal complications of labour and delivery	maternal complications of labour and delivery	10026906	C0851394	Maternal complications of labour and delivery	ERa Binding	ESR1	"Receptors, Estrogen"
148	"pregnancy, puerperium and perinatal conditions"	maternal complications of labour and delivery	maternal complications of labour and delivery	10026906	C0851394	Maternal complications of labour and delivery	TP	TBXA2R	"Receptors, Thromboxane A2, Prostaglandin H2"
150	"pregnancy, puerperium and perinatal conditions"	maternal complications of pregnancy	maternal complications of pregnancy	10026908	C0851401	Maternal complications of pregnancy	ERa Binding	ESR1	"Receptors, Estrogen"
151	"pregnancy, puerperium and perinatal conditions"	maternal complications of pregnancy	maternal complications of pregnancy	10026908	C0851401	Maternal complications of pregnancy	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
299	"pregnancy, puerperium and perinatal conditions"	neonatal and perinatal conditions	neonatal and perinatal conditions	10028920	C0851403	Neonatal and perinatal conditions	Al1A Binding	ADRA1A	"Receptors, Adrenergic, alpha-1"
300	"pregnancy, puerperium and perinatal conditions"	placental  amniotic and cavity disorders  excl haemorrhages 	"placental, amniotic and cavity disorders (excl haemorrhages)"	10035129	C0947754	"Placental, amniotic and cavity disorders (excl haemorrhages)"	Al1A Binding	ADRA1A	"Receptors, Adrenergic, alpha-1"
154	"pregnancy, puerperium and perinatal conditions"	placental  amniotic and cavity disorders  excl haemorrhages 	"placental, amniotic and cavity disorders (excl haemorrhages)"	10035129	C0947754	"Placental, amniotic and cavity disorders (excl haemorrhages)"	COX-2	PTGS2	Cyclooxygenase 2
155	"pregnancy, puerperium and perinatal conditions"	pregnancy  labour  delivery and postpartum conditions	"pregnancy, labour, delivery and postpartum conditions"	10010273	C0851374	"Pregnancy, labour, delivery and postpartum conditions"	Al1A Binding	ADRA1A	"Receptors, Adrenergic, alpha-1"
156	"pregnancy, puerperium and perinatal conditions"	pregnancy  labour  delivery and postpartum conditions	"pregnancy, labour, delivery and postpartum conditions"	10010273	C0851374	"Pregnancy, labour, delivery and postpartum conditions"	BSEP	ABCB11	"ATP Binding Cassette Transporter, Subfamily B, Member 11"
159	psychiatric disorders	changes in physical activity	changes in physical activity	10008401	C0851408	Changes in physical activity	r BZD	GABRA1	"Receptors, GABA-A"
160	psychiatric disorders	cognitive and attention disorders and disturbances	cognitive and attention disorders and disturbances	10009841	C0851843	Cognitive and attention disorders and disturbances	5HT2B Agonism	HTR2B	"Receptor, Serotonin, 5-HT2B"
164	psychiatric disorders	communication disorders and disturbances	communication disorders and disturbances	10010118	C0009460	Communication impairment	r BZD	GABRA1	"Receptors, GABA-A"
165	psychiatric disorders	depressed mood disorders and disturbances	depressed mood disorders and disturbances	10012375	C0851582	Depressed mood disorders and disturbances	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
166	psychiatric disorders	depressed mood disorders and disturbances	depressed mood disorders and disturbances	10012375	C0851582	Depressed mood disorders and disturbances	r BZD	GABRA1	"Receptors, GABA-A"
167	psychiatric disorders	disturbances in thinking and perception	disturbances in thinking and perception	10013511	C0851476	Disturbances in thinking and perception	OpM Binding	OPRM1	"Receptors, Opioid, mu"
304	psychiatric disorders	disturbances in thinking and perception	disturbances in thinking and perception	10013511	C0851476	Disturbances in thinking and perception	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
168	psychiatric disorders	disturbances in thinking and perception	disturbances in thinking and perception	10013511	C0851476	Disturbances in thinking and perception	r BZD	GABRA1	"Receptors, GABA-A"
169	psychiatric disorders	impulse control disorders nec	impulse control disorders nec	10021563	C0868740	Impulse control disorder NEC (disorder) in SNOMEDCT_US_2016_03_01	5HT2A Agonism	HTR2A	"Receptor, Serotonin, 5-HT2A"
170	psychiatric disorders	impulse control disorders nec	impulse control disorders nec	10021563	C0868740	Impulse control disorder NEC (disorder) in SNOMEDCT_US_2016_03_01	5HT2B Agonism	HTR2B	"Receptor, Serotonin, 5-HT2B"
