meddra_code	mesh_term
10013326	Oligomenorrhea
10013326	Menorrhagia
10013355	Penile Neoplasms
10013356	Premature Ejaculation
10013356	Priapism
10013356	Erectile Dysfunction
10013356	"Puberty, Delayed"
10013356	Dyspareunia
10013356	Infertility
10013356	"Infertility, Female"
10013356	"Infertility, Male"
10013356	Libido
10013356	"Sexual Dysfunctions, Psychological"
10013356	"Fibrous Dysplasia, Polyostotic"
10013356	Hypogonadism
10013356	"Puberty, Precocious"
10013356	Adrenogenital Syndrome
10013356	Hyperandrogenism
10013356	HAIR-AN syndrome
10013356	Ciliary Motility Disorders
10013356	Aspermia
10013356	Azoospermia
10013356	Hemospermia
10013356	Oligospermia
10013356	Teratozoospermia
10013356	Young Syndrome
10013356	Asthenozoospermia
10013364	Uterine Cervical Neoplasms
10013511	Delusions
10013535	Diverticulum
10014523	Embolism and Thrombosis
10014701	Amenorrhea
10014701	Metrorrhagia
10014701	Hirsutism
10014701	Menstruation Disturbances
10014701	Oligomenorrhea
10014701	Ovarian Hyperstimulation Syndrome
10014701	Polycystic Ovary Syndrome
10014701	"Menopause, Premature"
10014701	Virilism
10014701	"Blepharophimosis, Ptosis, and Epicanthus Inversus"
10014701	Anorchia
10014701	Cryptorchidism
10014701	Eunuchism
10014701	Gynecomastia
10014701	Klinefelter Syndrome
10014701	Androgen-Insensitivity Syndrome
10014701	Sertoli Cell-Only Syndrome
10014701	Disorders of Sex Development
10014701	"46, XX Disorders of Sex Development"
10014701	"Disorder of Sex Development, 46,XY"
10014701	Turner Syndrome
10014701	Hypogonadism
10014701	Hyperandrogenism
10014701	Estrogens
10014701	Alopecia
10014701	Myotonic Dystrophy
10014701	Denys-Drash Syndrome
10014701	Frasier Syndrome
10014701	Persistent Mullerian duct syndrome
10014701	"Puberty, Delayed"
10014701	"Fibrous Dysplasia, Polyostotic"
10014701	"Puberty, Precocious"
10014982	Connective Tissue Diseases
10014982	Erythema
10015732	Otitis Externa
10015732	Otomycosis
10015732	Herpes Zoster Oticus
10015732	"Ear Deformities, Acquired"
10015917	Lacrimal Apparatus Diseases
10016849	Breech Presentation
10016849	Labor Presentation
10016849	Fetal Nutrition Disorders
10016849	Fetal Macrosomia
10016849	Fetal Growth Retardation
10016849	Finnish lethal neonatal metabolic syndrome
10016849	"Twins, Conjoined"
10016849	Fetal Distress
10016849	Fetomaternal Transfusion
10016849	Hydrops Fetalis
10016849	Congenital Abnormalities
10016849	Fetal Diseases
10016849	"Amputation, Congenital"
10016849	Fetal Alcohol Spectrum Disorders
10016849	Warfarin syndrome
10016849	Isotretinoin embryopathy like syndrome
10016950	Celiac Disease
10016950	Malabsorption Syndromes
10016950	Food Intolerance
10016950	Intestinal Polyposis
10016950	Galactosemias
10016950	Lactose Intolerance
10016950	Fructose Intolerance
10017322	"Fractures, Bone"
10017528	Mycoses
10017628	Gallbladder Diseases
10017934	"Polyposis, Gastric"
10017934	Intestinal Polyps
10017934	Esophageal Cyst
10017934	Gingival Diseases
10017934	"Granuloma, Pyogenic"
10017934	Cementoma
10017934	Ameloblastoma
10017934	Adenolymphoma
10017934	"Leukokeratosis, Hereditary Mucosal"
10017934	"Adenoma, Pleomorphic"
10018008	"Anus, Imperforate"
10018008	Anorectal Malformations
10018008	Atresia of small intestine
10018008	Familial duodenal atresia
10018008	Duodenal Obstruction
10018008	Meconium Ileus
10018008	Superior Mesenteric Artery Syndrome
10018008	Afferent Loop Syndrome
10018008	Pyloric Stenosis
10018008	Stomach Volvulus
10018008	Ileus
10018008	Intestinal Obstruction
10018008	Intussusception
10018008	"Intestinal Atresia, Multiple"
10018008	Intestinal Volvulus
10018008	Intestinal Atresia
10018008	Microcolon
10018008	Esophageal Atresia
10018008	Esophageal Stenosis
10018008	Plummer-Vinson Syndrome
10018018	"Anus, Imperforate"
10018018	Pyloric Stenosis
10018018	Hirschsprung Disease
10018018	Atresia of small intestine
10018018	Familial duodenal atresia
10018018	Peutz-Jeghers Syndrome
10018018	Adenomatous Polyposis Coli
10018018	Intestinal Atresia
10018018	Muir-Torre Syndrome
10018018	Volvulus Of Midgut
10018018	Microvillus inclusion disease
10018018	Microcolon
10018018	"Hernia, Umbilical"
10018018	Gastroschisis
10018018	"Intestinal Atresia, Multiple"
10018018	Prune Belly Syndrome
10018018	Megacystis microcolon intestinal hypoperistalsis syndrome
10018018	Esophageal Atresia
10018018	Esophageal Cyst
10018018	Mouth Abnormalities
10018018	Cleft Palate
10018018	Cystic Fibrosis
10018018	Hereditary pancreatitis
10018018	Shwachman syndrome
10018018	Annular pancreas
10018018	Johanson Blizzard syndrome
10018018	Congenital macroglossia
10018018	Tongue Diseases
10018018	Ankyloglossia
10018018	Anodontia
10018027	Peptic Ulcer Perforation
10018031	Esophageal and Gastric Varices
10018307	Hydrophthalmos
10018424	Diabetes Mellitus
10018424	"Diabetes, Gestational"
10018424	"Diabetes Mellitus, Type 1"
10018424	"Lipodystrophy, Congenital Generalized"
10018424	Latent Autoimmune Diabetes in Adults
10018424	"Diabetes Mellitus, Type 2"
10018424	Wolfram Syndrome
10018424	Glucose Intolerance
10018424	Hyperglycemia
10018424	Insulin Resistance
10018424	HAIR-AN syndrome
10018424	Hypoglycemia
10018424	Hyperinsulinism
10018424	Nesidioblastosis
10018849	Hematologic Diseases
10018911	"Anemia, Hemolytic, Autoimmune"
10018911	Evans Syndrome
10018911	Transfusion Reaction
10018911	"Erythroblastosis, Fetal"
10018911	Hemolytic-Uremic Syndrome
10018911	"Anemia, Hemolytic"
10018911	Atypical Hemolytic Uremic Syndrome
10018911	"Hemoglobinuria, Paroxysmal"
10018911	Hypersplenism
10018911	"Anemia, Hemolytic, Congenital"
10018911	Hemolysis
10018911	Hemoglobinuria
10018911	Hyperbilirubinemia
10018911	Jaundice
10018911	"Anemia, hereditary spherocytic hemolytic"
10018911	"Jaundice, Neonatal"
10018911	"Elliptocytosis, Hereditary"
10018911	Glucosephosphate Dehydrogenase Deficiency
10018911	"Spherocytosis, Hereditary"
10018911	Glutathione synthetase deficiency
10018911	Neuroacanthocytosis
10019280	Heart Failure
10019654	Cholestasis
10019654	Hyperbilirubinemia
10019654	"Hyperbilirubinemia, Neonatal"
10019654	Jaundice
10019654	"Anemia, hereditary spherocytic hemolytic"
10019654	"Jaundice, Obstructive"
10019654	"Jaundice, Neonatal"
10019654	Kernicterus
10019654	Intrahepatic Cholestasis of Pregnancy
10019654	Postcholecystectomy Syndrome
10019654	Finnish lethal neonatal metabolic syndrome
10019654	Crigler-Najjar Syndrome
10019654	Liver Diseases
10019654	Hyperammonemia
10019654	Hypoalbuminemia
10019654	Hypoproteinemia
10019654	HELLP Syndrome
10019654	"Liver Failure, Acute"
10019654	Dyskinesias
10019654	Hepatic Encephalopathy
10019654	Liver Failure
10019654	Hepatorenal Syndrome
10019654	End Stage Liver Disease
10019654	Acute-On-Chronic Liver Failure
10019654	"Liver Cirrhosis, Biliary"
10019654	"Liver Cirrhosis, Alcoholic"
10019654	Liver Cirrhosis
10019654	Glycogen Storage Disease Type IV
10019654	"Hepatic Fibrosis, Congenital"
10019654	"Cirrhosis, Cryptogenic"
10019654	"Angiomatosis, Bacillary"
10019654	Clonorchiasis
10019654	Fascioliasis
10019654	"Echinococcosis, Hepatic"
10019654	Liver Abscess
10019654	Opisthorchiasis
10019654	"Tuberculosis, Hepatic"
10019654	"Liver Abscess, Amebic"
10019811	"Adenoma, Bile Duct"
10019811	"Adenoma, Liver Cell"
10019811	Focal Nodular Hyperplasia
10019811	Biliary Tract Neoplasms
10019811	Liver Neoplasms
10019811	Gallbladder Neoplasms
10019811	Bile Duct Neoplasms
10019811	Cholangiocarcinoma
10019811	Hepatoblastoma
10019811	"Carcinoma, Hepatocellular"
10021460	Immunologic Deficiency Syndromes
10021563	"Disruptive, Impulse Control, and Conduct Disorders"
10021666	Hydrocephalus
10021666	"Hydrocephalus, Normal Pressure"
10021666	Dandy-Walker Syndrome
10021666	Intracranial Hypertension
10021666	Papilledema
10021666	Brain Edema
10021666	Pseudotumor Cerebri
10021877	Conjunctivitis
10021877	"Conjunctivitis, Allergic"
10021877	"Conjunctivitis, Inclusion"
10021877	Ophthalmia Neonatorum
10021877	"Conjunctivitis, Viral"
10021877	"Rhinitis, Allergic, Seasonal"
10021877	"Conjunctivitis, Bacterial"
10021877	"Conjunctivitis, Acute Hemorrhagic"
10021877	"Plasminogen Deficiency, Type I"
10021877	Corneal Edema
10021877	Keratitis
10021877	Corneal Ulcer
10021877	Acanthamoeba Keratitis
10021877	Uveoparotid Fever
10021877	Iridocyclitis
10021877	Iritis
10021877	"Ophthalmia, Sympathetic"
10021877	Uveitis
10021877	Cogan Syndrome
10021879	Otitis
10021879	Respiratory Tract Infections
10021879	Urinary Tract Infections
10022396	Vestibulocochlear Nerve Diseases
10024967	Pulmonary Edema
10025231	Lymphatic Diseases
10025231	Lymphedema
10025477	Malabsorption Syndromes
10025518	"Tuberculosis, Male Genital"
10025518	Prostatitis
10025518	Epididymitis
10025518	Orchitis
10026906	Premature Birth
10026906	"Obstetric Labor, Premature"
10026906	"Fetal Membranes, Premature Rupture"
10026906	"Pregnancy, Prolonged"
10026906	Dystocia
10026906	Cephalopelvic Disproportion
10026906	Obstetric Labor Complications
10026908	Abruptio Placentae
10026908	Eclampsia
10026908	Pre-Eclampsia
10026908	HELLP Syndrome
10026908	"Hypertension, Pregnancy-Induced"
10026908	Acute fatty liver of pregnancy
10026908	Uterine Cervical Incompetence
10026908	"Pregnancy, Ectopic"
10026908	Pemphigoid Gestationis
10026908	Hyperemesis Gravidarum
10026908	Morning Sickness
10026908	Uterine Rupture
10026908	Pregnancy Complications
10026908	"Pregnancy, Heterotopic"
10026908	Pruritic urticarial papules plaques of pregnancy
10026908	Preterm Premature Rupture of the Membranes
10026908	Antiphospholipid Syndrome
10026908	"Diabetes, Gestational"
10026908	Intrahepatic Cholestasis of Pregnancy
10027584	Tympanic Membrane Perforation
10027584	Myringosclerosis
10027584	Mastoiditis
10027584	Otitis Media
10027584	Petrositis
10027584	Otosclerosis
10027584	Otitis Media with Effusion
10027584	Glomus Tympanicum Tumor
10027665	Amyloidosis
10027665	Vasculitis
10027665	Graft Rejection
10027667	Cholesteatoma
10027667	Ear Diseases
10027667	Otitis
10027667	Earache
10027667	Hyperacusis
10027667	Ear Neoplasms
10027946	Anger
10027946	Crying
10027946	Euphoria
10027946	Irritable Mood
10027946	Premenstrual Syndrome
10027946	Premenstrual Dysphoric Disorder
10027946	Affective Symptoms
10027946	Mood Disorders
10027946	Apathy
10027946	Lethargy
10027946	Seasonal Affective Disorder
10027946	Boredom
10028037	Chorea
10028037	Dystonia
10028302	Muscular Diseases
10028377	Ainhum
10028377	Klippel-Trenaunay-Weber Syndrome
10028377	Hammer Toe Syndrome
10028377	Foot Deformities
10028377	Hand Deformities
10028377	Blount disease
10028377	Sturge-Weber Syndrome
10028377	Kyphosis
10028377	Lordosis
10028377	Scoliosis
10028377	Spondylolysis
10028377	Spondylolisthesis
10028377	Intervertebral Disc Displacement
10028377	Sciatica
10028377	Intervertebral Disc Degeneration
10028377	Intervertebral disc disease
10028377	Wolf-Hirschhorn Syndrome
10028377	Prognathism
10028377	Retrognathia
10028377	Facial Asymmetry
10028396	Ehlers-Danlos Syndrome
10028396	Pseudoxanthoma Elasticum
10028396	Neonatal Systemic lupus erythematosus
10028396	Arterial Tortuosity Syndrome
10028396	Loeys-Dietz Syndrome
10028396	Branchioma
10028396	Cleft Lip
10028396	Hypertelorism
10028396	Macrostomia
10028396	Micrognathism
10028396	Microstomia
10028396	Pierre Robin Syndrome
10028396	Rubinstein-Taybi Syndrome
10028396	Mandibulofacial Dysostosis
10028396	Cyclopia
10028396	Otocephaly
10028396	DiGeorge Syndrome
10028396	Nijmegen Breakage Syndrome
10028396	Cherubism
10028396	"Maxillonasal dysplasia, Binder type"
10028396	Cleidocranial Dysplasia
10028396	Hypertelorism with esophageal abnormality and hypospadias
10028396	Madelung Deformity
10028396	Hypochondroplasia
10028396	"Limb Deformities, Congenital"
10028396	Megalodactyly
10028396	Marfan Syndrome
10028396	Hallux Varus
10028396	Poland Syndrome
10028396	Polydactyly
10028396	Radioulnar Synostosis
10028396	Syndactyly
10028396	Talipes
10028396	"Myopathy, Central Core"
10028396	"Foot Deformities, Congenital"
10028396	"Hand Deformities, Congenital"
10028396	Arachnodactyly
10028396	Amniotic Band Syndrome
10028396	Cryopyrin-Associated Periodic Syndromes
10028440	"Mycobacterium Infections, Nontuberculous"
10028440	Leprosy
10028440	Tuberculosis
10028593	Cardiomyopathies
10028920	"Ichthyosis, Lamellar"
10028920	Perinatal Death
10028920	Failure to Thrive
10028920	Muscle Hypotonia
10028920	"Infant, Newborn, Diseases"
10028920	Retinopathy of Prematurity
10028920	Sudden Infant Death
10028920	Muscle Hypertonia
10028920	Neonatal Systemic lupus erythematosus
10028920	Netherton Syndrome
10028920	"Infant, Postmature"
10028920	"Infant, Small for Gestational Age"
10028920	Persistent Fetal Circulation Syndrome
10028971	Bronchopulmonary Dysplasia
10028971	Transient Tachypnea of the Newborn
10028971	Meconium Aspiration Syndrome
10028971	Asphyxia Neonatorum
10028971	"Respiratory Distress Syndrome, Newborn"
10029149	Kidney Diseases
10029299	Neural Tube Defects
10029299	Hepatolenticular Degeneration
10029299	Meningocele
10029299	Meningomyelocele
10029299	Spinal Dysraphism
10029299	Spina Bifida Occulta
10029299	Syringomyelia
10029299	von Hippel-Lindau Disease
10029299	Sturge-Weber Syndrome
10029299	Central Nervous System Cysts
10029299	Charcot-Marie-Tooth Disease
10029299	Congenital central hypoventilation syndrome
10029299	Spina Bifida Cystica
10029299	Cockayne Syndrome
10029299	"Nystagmus, Congenital"
10029299	"Paralyses, Familial Periodic"
10029299	"Spastic Paraplegia, Hereditary"
10029299	Congenital facial diplegia
10029299	Neurofibromatoses
10029299	Prader-Willi Syndrome
10029299	"Dysautonomia, Familial"
10029299	"Muscular Atrophy, Spinal"
10029299	Tourette Syndrome
10029299	Sjogren-Larsson Syndrome
10029299	Lafora Disease
10029299	Unverricht-Lundborg Syndrome
10029299	Aicardi Syndrome
10029299	Bardet-Biedl Syndrome
10029299	Hyperekplexia
10029299	Migraine with Aura
10029299	"Epilepsy, Benign Neonatal"
10029299	Huntington Disease
10029299	Motor Neuron Disease
10029299	"Epilepsies, Myoclonic"
10029299	"Horner Syndrome, Congenital"
10029299	Dystonia musculorum deformans type 1
10029299	Amyotrophic lateral sclerosis 1
10029299	Alternating hemiplegia of childhood
10029299	Perry Syndrome
10029299	Congenital anosmia
10029299	"Dystonia, Dopa-responsive"
10029299	Neuroacanthocytosis
10029299	Hereditary Sensory and Autonomic Neuropathies
10029299	Tomaculous neuropathy
10029299	Hereditary Sensory and Motor Neuropathy
10029299	"Polyglucosan Body Disease, Adult Form"
10029299	Arnold-Chiari Malformation
10029299	Cerebellar Hypoplasia
10029299	Friedreich Ataxia
10029299	Spinocerebellar Degenerations
10029299	Spinocerebellar Ataxias
10029299	"Myoclonic Epilepsies, Progressive"
10029299	Joubert syndrome 1
10029299	Anencephaly
10029299	Cerebral Palsy
10029299	Hydrocephalus
10029299	Porencephaly
10029299	Dandy-Walker Syndrome
10029299	Lissencephaly
10029305	"Reflex, Abnormal"
10029317	Neuromuscular Diseases
10030061	Pupil Disorders
10030064	Asthenopia
10030064	Photophobia
10033283	Ovarian Diseases
10033283	Ovarian Hyperstimulation Syndrome
10033283	Superovulation
10033283	Fallopian Tube Diseases
10033283	Ovarian Germ Cell Cancer
10033283	Fallopian Tube Neoplasms
10033283	Meigs Syndrome
10033283	Ovarian Neoplasms
10033283	Ovarian Cysts
10033949	Parathyroid Diseases
10034468	Cardiac Tamponade
10034468	Pericardial Effusion
10034468	Pneumopericardium
10034468	"Pericarditis, Tuberculous"
10034468	Pericarditis
10034468	"Pericarditis, Constrictive"
10034468	Postpericardiotomy Syndrome
10034606	Peripheral Nervous System Diseases
10034652	Ascites
10034652	Meigs Syndrome
10034652	Pseudomyxoma Peritonei
10034652	Pneumoperitoneum
10034652	Peritoneal Diseases
10034652	Visceral Prolapse
10034652	Retropneumoperitoneum
10034652	Mesenteric Cyst
10034652	Peritoneal Fibrosis
10034652	Retroperitoneal Fibrosis
10034652	Hemoperitoneum
10034726	Aggression
10034726	Hostility
10034726	Apathy
10034726	Negativism
10034726	Paranoid Disorders
10034726	Egocentrism
10034726	Brunner Syndrome
10034726	Personality Disorders
10034726	Dependent Personality Disorder
10034726	Compulsive Personality Disorder
10034726	Antisocial Personality Disorder
10034726	Borderline Personality Disorder
10034726	Histrionic Personality Disorder
10034726	Paranoid Personality Disorder
10034726	Schizoid Personality Disorder
10034726	Schizotypal Personality Disorder
10035023	Pigmentation Disorders
10035129	Deciduoma
10037008	"Amino Acid Metabolism, Inborn Errors"
10037008	Hyperhomocysteinemia
10037008	Hyperammonemia
10037008	Hypoalbuminemia
10037008	Hypoproteinemia
10037072	Protozoan Infections
10037173	Breath Holding
10037173	Regression (Psychology)
10037173	Problem Behavior
10037173	Fingersucking
10037173	Hyperventilation
10037173	Anxiety
10037173	Persian Gulf Syndrome
10037173	Post-Concussion Syndrome
10037173	Psychological Trauma
10037173	Procrastination
10037176	Cushing Syndrome
10037176	"Porphyria, Acute Intermittent"
10037176	Thyroid Crisis
10037176	Water Intoxication
10037176	"Lupus Vasculitis, Central Nervous System"
10037176	Brain Injuries
10037176	Mental Disorders
10037176	"Embolism, Fat"
10037176	Failure to Thrive
10037176	Social Communication Disorder
10037176	Enuresis
10037176	Alcoholism
10037176	Substance-Related Disorders
10037176	Neonatal Abstinence Syndrome
10037176	Tobacco Use Disorder
10037176	Substance Withdrawal Syndrome
10037176	Binge Drinking
10037176	Gambling
10037454	"Hypertension, Pulmonary"
10038158	Obesity Hypoventilation Syndrome
10038158	Polycythemia
10038158	Heinz Bodies
10038158	Erythroblasts
10038158	Reticulocytosis
10038360	Bladder Exstrophy
10038360	Megaduodenum
10038360	Bartter Syndrome
10038360	Urogenital Abnormalities
10038360	Gitelman Syndrome
10038360	Hereditary leiomyomatosis and renal cell cancer
10038360	Dent Disease
10038360	Denys-Drash Syndrome
10038360	"Nephritis, Hereditary"
10038360	Fanconi Syndrome
10038360	Oculocerebrorenal Syndrome
10038360	Liddle Syndrome
10038360	"Nephrosis, congenital"
10038360	"Hematuria, Benign Familial"
10038360	Renal Adysplasia
10038360	"Diabetes Insipidus, Nephrogenic"
10038360	"Nephroma, Mesoblastic"
10038430	Kidney Neoplasms
10038612	Disorders of Sex Development
10038612	"46, XX Disorders of Sex Development"
10038612	"Disorder of Sex Development, 46,XY"
10038612	Virilism
10038612	Androgen-Insensitivity Syndrome
10038612	Denys-Drash Syndrome
10038612	Frasier Syndrome
10038612	Persistent Mullerian duct syndrome
10038612	Fournier Gangrene
10038612	"Genital Diseases, Female"
10038612	"Genital Diseases, Male"
10038612	Popliteal Pterygium Syndrome
10038612	Teratoma
10038612	Endodermal Sinus Tumor
10038612	Buschke-Lowenstein Tumor
10038612	"Genital Neoplasms, Female"
10038612	Urogenital Neoplasms
10038612	"Neoplasms, Germ Cell and Embryonal"
10038612	"Genital Neoplasms, Male"
10038686	"Hernias, Diaphragmatic, Congenital"
10038686	Congenital tracheomalacia
10038686	Laryngocele
10038686	Tracheoesophageal Fistula
10038686	Laryngomalacia
10038686	Laryngo onycho cutaneous syndrome
10038686	Laryngeal cleft
10038686	Congenital lobar emphysema
10038686	Cystic Fibrosis
10038686	Lung agenesis
10038686	Bronchopulmonary Sequestration
10038686	Bronchogenic Cyst
10038686	Choanal Atresia
10038686	Respiratory System Abnormalities
10038686	Ciliary Motility Disorders
10039404	Xerostomia
10039404	Sialorrhea
10039404	Sjogren's Syndrome
10039404	Salivary Gland Calculi
10039404	"Sweating, Gustatory"
10039404	Salivary Gland Diseases
10039404	Ranula
10039404	Mikulicz' Disease
10039404	Uveoparotid Fever
10039404	Mumps
10039404	Parotitis
10039404	Sialadenitis
10040790	Lipodystrophy
10040790	Panniculitis
10040798	Acne Vulgaris
10040798	Alopecia
10040798	Hypertrichosis
10040798	Rosacea
10040798	Sebaceous Gland Diseases
10040899	"Nevus, Epithelioid and Spindle Cell"
10040899	"Nevus, Pigmented"
10040899	"Granuloma, Pyogenic"
10040899	"Keratosis, Seborrheic"
10040899	Sweat Gland Neoplasms
10040899	"Osseous Heteroplasia, Progressive"
10040899	Steatocystoma Multiplex
10040899	"Histiocytoma, Benign Fibrous"
10040899	Condylomata Acuminata
10040899	Acanthoma
10040899	Dysplastic Nevus Syndrome
10040899	Birt-Hogg-Dube Syndrome
10040899	Hereditary leiomyomatosis and renal cell cancer
10040899	Familial Multiple Lipomatosis
10040991	Sleep Wake Disorders
10040998	Sleep Apnea Syndromes
10041543	Anterior Spinal Artery Syndrome
10041543	Brown-Sequard Syndrome
10041543	Cauda Equina Syndrome
10041543	"Urinary Bladder, Overactive"
10041543	Spinal Cord Diseases
10041543	"Urinary Bladder, Neurogenic"
10041543	Radiculopathy
10041543	Spinal Cord Compression
10041543	Syringomyelia
10041543	Spinal Cord Ischemia
10041543	Neural Tube Defects
10041543	Pneumorrhachis
10041543	Spinal Cord Injuries
10041543	Central Cord Syndrome
10041543	Sciatica
10042258	Brain Concussion
10042258	Subdural Effusion
10042258	Encephalomalacia
10042258	Brain Contusion
10042258	Diffuse Axonal Injury
10042258	Kluver-Bucy Syndrome
10042258	Septo-Optic Dysplasia
10042258	Brain Injuries
10042258	Craniocerebral Trauma
10042258	"Plaque, Amyloid"
10042258	Hypothalamic hamartomas
10042261	Retinopathy of Prematurity
10042261	Vitreous Detachment
10042261	Optic Atrophy
10042261	Optic Disk Drusen
10042261	Papilledema
10042261	Pseudopapilledema
10042261	Optic Nerve Diseases
10042261	Hypertelorism
10042261	Hypertelorism with esophageal abnormality and hypospadias
10042261	Retinal Degeneration
10042261	Retinal Detachment
10042261	Retinal Dystrophies
10042261	Retinal Perforations
10042261	Retinitis Pigmentosa
10042261	Tay-Sachs Disease
10042261	Osteoporosis-pseudoglioma syndrome
10042261	Bardet-Biedl Syndrome
10042261	Retinoschisis
10042261	Retinal Drusen
10042261	Macular Degeneration
10042460	Suicidal Ideation
10042460	"Suicide, Attempted"
10042460	"Suicide, Assisted"
10043739	Thyroid Diseases
10043946	Taste Disorders
10043946	Tongue Diseases
