"HLGT"	"gene"	"mesh_tr"	"HLGT_N"	"mesh_N"	"intersect_N"	"flag"
"haematological disorders nec"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"541654"	"3624"	"4"	FALSE
"haematological disorders nec"	"KCNH2"	"ERG1 Potassium Channel"	"541654"	"1772"	"7"	FALSE
"haematological disorders nec"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"541654"	"480"	"11"	FALSE
"haematological disorders nec"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"541654"	"3015"	"2"	FALSE
"haematological disorders nec"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"541654"	"1523"	"2"	FALSE
"haematological disorders nec"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"541654"	"554"	"2"	FALSE
"haematological disorders nec"	"MAOA"	"Monoamine Oxidase"	"541654"	"11015"	"42"	FALSE
"haematological disorders nec"	"PGR"	"Receptors, Progesterone"	"541654"	"18606"	"45"	FALSE
"haematological disorders nec"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"541654"	"4272"	"18"	FALSE
"haematological disorders nec"	"GABRA1"	"Receptors, GABA-A"	"541654"	"18704"	"6"	FALSE
"haematological disorders nec"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"541654"	"424"	"1"	FALSE
"haematological disorders nec"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"541654"	"6781"	"22"	FALSE
"haematological disorders nec"	"ADORA3"	"Receptor, Adenosine A3"	"541654"	"746"	"1"	FALSE
"haematological disorders nec"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"541654"	"6442"	"88"	FALSE
"haematological disorders nec"	"ACHE"	"Acetylcholinesterase"	"541654"	"21600"	"236"	FALSE
"haematological disorders nec"	"CHRM1"	"Receptor, Muscarinic M1"	"541654"	"1272"	"0"	FALSE
"haematological disorders nec"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"541654"	"26904"	"16"	FALSE
"haematological disorders nec"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"541654"	"5639"	"5"	FALSE
"haematological disorders nec"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"541654"	"3568"	"3"	FALSE
"haematological disorders nec"	"CNR1"	"Receptor, Cannabinoid, CB1"	"541654"	"5259"	"3"	FALSE
"haematological disorders nec"	"ADORA1"	"Receptor, Adenosine A1"	"541654"	"1347"	"3"	FALSE
"haematological disorders nec"	"EDNRB"	"Receptor, Endothelin B"	"541654"	"2261"	"8"	FALSE
"haematological disorders nec"	"EDNRA"	"Receptor, Endothelin A"	"541654"	"2741"	"11"	FALSE
"haematological disorders nec"	"ADORA2A"	"Receptor, Adenosine A2A"	"541654"	"2325"	"13"	FALSE
"haematological disorders nec"	"NTSR1"	"Receptors, Neurotensin"	"541654"	"1049"	"0"	FALSE
"haematological disorders nec"	"OPRD1"	"Receptors, Opioid, delta"	"541654"	"4485"	"0"	FALSE
"haematological disorders nec"	"ESR1"	"Receptors, Estrogen"	"541654"	"48067"	"126"	FALSE
"haematological disorders nec"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"541654"	"592"	"16"	FALSE
"haematological disorders nec"	"OPRM1"	"Receptors, Opioid, mu"	"541654"	"8769"	"6"	FALSE
"haematological disorders nec"	"SLC6A2"	"Norepinephrine Plasma Membrane Transport Proteins"	"541654"	"1388"	"0"	FALSE
"haematological disorders nec"	"SLC6A4"	"Serotonin Plasma Membrane Transport Proteins"	"541654"	"6470"	"3"	FALSE
"haematological disorders nec"	"DRD1"	"Receptors, Dopamine D1"	"541654"	"7121"	"4"	FALSE
"haematological disorders nec"	"HRH1"	"Receptors, Histamine H1"	"541654"	"2208"	"5"	FALSE
"haemolyses and related conditions"	"AR"	"Receptors, Androgen"	"147359"	"14984"	"8"	FALSE
"haemolyses and related conditions"	"NR3C1"	"Receptors, Glucocorticoid"	"147359"	"12736"	"7"	FALSE
"haemolyses and related conditions"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"147359"	"1657"	"0"	FALSE
"haemolyses and related conditions"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"147359"	"855"	"1"	FALSE
"haemolyses and related conditions"	"PTGS2"	"Cyclooxygenase 2"	"147359"	"22509"	"13"	TRUE
"haemolyses and related conditions"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"147359"	"1839"	"1"	TRUE
"haemolyses and related conditions"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"147359"	"3624"	"1"	FALSE
"haemolyses and related conditions"	"KCNH2"	"ERG1 Potassium Channel"	"147359"	"1772"	"2"	FALSE
"haemolyses and related conditions"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"147359"	"480"	"3"	FALSE
"haemolyses and related conditions"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"147359"	"3015"	"0"	FALSE
"haemolyses and related conditions"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"147359"	"1523"	"2"	FALSE
"haemolyses and related conditions"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"147359"	"554"	"17"	FALSE
"haemolyses and related conditions"	"MAOA"	"Monoamine Oxidase"	"147359"	"11015"	"7"	FALSE
"haemolyses and related conditions"	"PGR"	"Receptors, Progesterone"	"147359"	"18606"	"3"	FALSE
"haemolyses and related conditions"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"147359"	"4272"	"3"	FALSE
"haemolyses and related conditions"	"GABRA1"	"Receptors, GABA-A"	"147359"	"18704"	"3"	FALSE
"haemolyses and related conditions"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"147359"	"424"	"0"	FALSE
"haemolyses and related conditions"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"147359"	"6781"	"4"	FALSE
"haemolyses and related conditions"	"ADORA3"	"Receptor, Adenosine A3"	"147359"	"746"	"1"	FALSE
"haemolyses and related conditions"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"147359"	"6442"	"5"	FALSE
"haemolyses and related conditions"	"ACHE"	"Acetylcholinesterase"	"147359"	"21600"	"236"	FALSE
"haemolyses and related conditions"	"CHRM1"	"Receptor, Muscarinic M1"	"147359"	"1272"	"0"	FALSE
"haemolyses and related conditions"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"147359"	"26904"	"7"	FALSE
"haemolyses and related conditions"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"147359"	"5639"	"1"	FALSE
"haemolyses and related conditions"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"147359"	"3568"	"0"	FALSE
"haemolyses and related conditions"	"CNR1"	"Receptor, Cannabinoid, CB1"	"147359"	"5259"	"2"	FALSE
"haemolyses and related conditions"	"ADORA1"	"Receptor, Adenosine A1"	"147359"	"1347"	"0"	FALSE
"haemolyses and related conditions"	"EDNRB"	"Receptor, Endothelin B"	"147359"	"2261"	"5"	FALSE
"haemolyses and related conditions"	"EDNRA"	"Receptor, Endothelin A"	"147359"	"2741"	"7"	FALSE
"haemolyses and related conditions"	"ADORA2A"	"Receptor, Adenosine A2A"	"147359"	"2325"	"6"	FALSE
"haemolyses and related conditions"	"NTSR1"	"Receptors, Neurotensin"	"147359"	"1049"	"0"	FALSE
"haemolyses and related conditions"	"OPRD1"	"Receptors, Opioid, delta"	"147359"	"4485"	"0"	FALSE
"haemolyses and related conditions"	"ESR1"	"Receptors, Estrogen"	"147359"	"48067"	"5"	FALSE
"haemolyses and related conditions"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"147359"	"592"	"1"	FALSE
"haemolyses and related conditions"	"OPRM1"	"Receptors, Opioid, mu"	"147359"	"8769"	"5"	FALSE
"haemolyses and related conditions"	"SLC6A2"	"Norepinephrine Plasma Membrane Transport Proteins"	"147359"	"1388"	"0"	FALSE
"haemolyses and related conditions"	"SLC6A4"	"Serotonin Plasma Membrane Transport Proteins"	"147359"	"6470"	"0"	FALSE
"haemolyses and related conditions"	"DRD1"	"Receptors, Dopamine D1"	"147359"	"7121"	"0"	FALSE
"haemolyses and related conditions"	"HRH1"	"Receptors, Histamine H1"	"147359"	"2208"	"0"	FALSE
"red blood cell disorders"	"AR"	"Receptors, Androgen"	"11215"	"14984"	"4"	FALSE
"red blood cell disorders"	"NR3C1"	"Receptors, Glucocorticoid"	"11215"	"12736"	"8"	FALSE
"red blood cell disorders"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"11215"	"1657"	"0"	TRUE
"red blood cell disorders"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"11215"	"855"	"0"	FALSE
"red blood cell disorders"	"PTGS2"	"Cyclooxygenase 2"	"11215"	"22509"	"2"	FALSE
"red blood cell disorders"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"11215"	"1839"	"0"	FALSE
"red blood cell disorders"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"11215"	"3624"	"0"	TRUE
"red blood cell disorders"	"KCNH2"	"ERG1 Potassium Channel"	"11215"	"1772"	"0"	FALSE
"red blood cell disorders"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"11215"	"480"	"0"	FALSE
"red blood cell disorders"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"11215"	"3015"	"0"	FALSE
"red blood cell disorders"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"11215"	"1523"	"0"	FALSE
"red blood cell disorders"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"11215"	"554"	"0"	FALSE
"red blood cell disorders"	"MAOA"	"Monoamine Oxidase"	"11215"	"11015"	"0"	FALSE
"red blood cell disorders"	"PGR"	"Receptors, Progesterone"	"11215"	"18606"	"0"	FALSE
"red blood cell disorders"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"11215"	"4272"	"0"	FALSE
"red blood cell disorders"	"GABRA1"	"Receptors, GABA-A"	"11215"	"18704"	"1"	FALSE
"red blood cell disorders"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"11215"	"424"	"0"	FALSE
"red blood cell disorders"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"11215"	"6781"	"9"	FALSE
"red blood cell disorders"	"ADORA3"	"Receptor, Adenosine A3"	"11215"	"746"	"1"	FALSE
"red blood cell disorders"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"11215"	"6442"	"8"	FALSE
"red blood cell disorders"	"ACHE"	"Acetylcholinesterase"	"11215"	"21600"	"15"	FALSE
"red blood cell disorders"	"CHRM1"	"Receptor, Muscarinic M1"	"11215"	"1272"	"0"	FALSE
"red blood cell disorders"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"11215"	"26904"	"0"	FALSE
"red blood cell disorders"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"11215"	"5639"	"0"	FALSE
"red blood cell disorders"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"11215"	"3568"	"0"	FALSE
"red blood cell disorders"	"CNR1"	"Receptor, Cannabinoid, CB1"	"11215"	"5259"	"0"	FALSE
"red blood cell disorders"	"ADORA1"	"Receptor, Adenosine A1"	"11215"	"1347"	"0"	FALSE
"red blood cell disorders"	"EDNRB"	"Receptor, Endothelin B"	"11215"	"2261"	"0"	FALSE
"red blood cell disorders"	"EDNRA"	"Receptor, Endothelin A"	"11215"	"2741"	"1"	FALSE
"red blood cell disorders"	"ADORA2A"	"Receptor, Adenosine A2A"	"11215"	"2325"	"0"	FALSE
"red blood cell disorders"	"NTSR1"	"Receptors, Neurotensin"	"11215"	"1049"	"0"	FALSE
"red blood cell disorders"	"OPRD1"	"Receptors, Opioid, delta"	"11215"	"4485"	"0"	FALSE
"red blood cell disorders"	"ESR1"	"Receptors, Estrogen"	"11215"	"48067"	"1"	FALSE
"red blood cell disorders"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"11215"	"592"	"0"	FALSE
"red blood cell disorders"	"OPRM1"	"Receptors, Opioid, mu"	"11215"	"8769"	"0"	FALSE
"red blood cell disorders"	"SLC6A2"	"Norepinephrine Plasma Membrane Transport Proteins"	"11215"	"1388"	"0"	FALSE
"red blood cell disorders"	"SLC6A4"	"Serotonin Plasma Membrane Transport Proteins"	"11215"	"6470"	"0"	FALSE
"red blood cell disorders"	"DRD1"	"Receptors, Dopamine D1"	"11215"	"7121"	"0"	FALSE
"red blood cell disorders"	"HRH1"	"Receptors, Histamine H1"	"11215"	"2208"	"0"	FALSE
"cardiac arrhythmias"	"AR"	"Receptors, Androgen"	"201788"	"14984"	"9"	FALSE
"cardiac arrhythmias"	"NR3C1"	"Receptors, Glucocorticoid"	"201788"	"12736"	"3"	FALSE
"cardiac arrhythmias"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"201788"	"1657"	"18"	FALSE
"cardiac arrhythmias"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"201788"	"855"	"14"	FALSE
"cardiac arrhythmias"	"PTGS2"	"Cyclooxygenase 2"	"201788"	"22509"	"5"	FALSE
"cardiac arrhythmias"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"201788"	"1839"	"18"	FALSE
"cardiac arrhythmias"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"201788"	"3624"	"47"	FALSE
"cardiac arrhythmias"	"KCNH2"	"ERG1 Potassium Channel"	"201788"	"1772"	"753"	TRUE
"cardiac arrhythmias"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"201788"	"480"	"1"	FALSE
"cardiac arrhythmias"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"201788"	"3015"	"8"	FALSE
"cardiac arrhythmias"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"201788"	"1523"	"984"	FALSE
"cardiac arrhythmias"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"201788"	"554"	"0"	FALSE
"cardiac arrhythmias"	"MAOA"	"Monoamine Oxidase"	"201788"	"11015"	"13"	FALSE
"cardiac arrhythmias"	"PGR"	"Receptors, Progesterone"	"201788"	"18606"	"0"	FALSE
"cardiac arrhythmias"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"201788"	"4272"	"55"	FALSE
"cardiac arrhythmias"	"GABRA1"	"Receptors, GABA-A"	"201788"	"18704"	"33"	FALSE
"cardiac arrhythmias"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"201788"	"424"	"0"	FALSE
"cardiac arrhythmias"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"201788"	"6781"	"69"	FALSE
"cardiac arrhythmias"	"ADORA3"	"Receptor, Adenosine A3"	"201788"	"746"	"2"	FALSE
"cardiac arrhythmias"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"201788"	"6442"	"3"	FALSE
"cardiac arrhythmias"	"ACHE"	"Acetylcholinesterase"	"201788"	"21600"	"20"	FALSE
"cardiac arrhythmias"	"CHRM1"	"Receptor, Muscarinic M1"	"201788"	"1272"	"6"	FALSE
"cardiac arrhythmias"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"201788"	"26904"	"38"	FALSE
"cardiac arrhythmias"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"201788"	"5639"	"1"	FALSE
"cardiac arrhythmias"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"201788"	"3568"	"31"	FALSE
"cardiac arrhythmias"	"CNR1"	"Receptor, Cannabinoid, CB1"	"201788"	"5259"	"7"	FALSE
"cardiac arrhythmias"	"ADORA1"	"Receptor, Adenosine A1"	"201788"	"1347"	"17"	FALSE
"cardiac arrhythmias"	"EDNRB"	"Receptor, Endothelin B"	"201788"	"2261"	"13"	FALSE
"cardiac arrhythmias"	"EDNRA"	"Receptor, Endothelin A"	"201788"	"2741"	"28"	FALSE
"cardiac arrhythmias"	"ADORA2A"	"Receptor, Adenosine A2A"	"201788"	"2325"	"6"	FALSE
"cardiac arrhythmias"	"NTSR1"	"Receptors, Neurotensin"	"201788"	"1049"	"0"	FALSE
"cardiac arrhythmias"	"OPRD1"	"Receptors, Opioid, delta"	"201788"	"4485"	"49"	FALSE
"cardiac arrhythmias"	"ESR1"	"Receptors, Estrogen"	"201788"	"48067"	"15"	FALSE
"cardiac arrhythmias"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"201788"	"592"	"4"	FALSE
"cardiac arrhythmias"	"OPRM1"	"Receptors, Opioid, mu"	"201788"	"8769"	"34"	FALSE
"cardiac arrhythmias"	"SLC6A2"	"Norepinephrine Plasma Membrane Transport Proteins"	"201788"	"1388"	"13"	FALSE
"cardiac arrhythmias"	"SLC6A4"	"Serotonin Plasma Membrane Transport Proteins"	"201788"	"6470"	"6"	FALSE
"cardiac arrhythmias"	"DRD1"	"Receptors, Dopamine D1"	"201788"	"7121"	"2"	FALSE
"cardiac arrhythmias"	"HRH1"	"Receptors, Histamine H1"	"201788"	"2208"	"11"	FALSE
"cardiac valve disorders"	"AR"	"Receptors, Androgen"	"114922"	"14984"	"2"	FALSE
"cardiac valve disorders"	"NR3C1"	"Receptors, Glucocorticoid"	"114922"	"12736"	"1"	FALSE
"cardiac valve disorders"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"114922"	"1657"	"0"	FALSE
"cardiac valve disorders"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"114922"	"855"	"3"	TRUE
"cardiac valve disorders"	"PTGS2"	"Cyclooxygenase 2"	"114922"	"22509"	"4"	FALSE
"cardiac valve disorders"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"114922"	"1839"	"1"	FALSE
"cardiac valve disorders"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"114922"	"3624"	"1"	FALSE
"cardiac valve disorders"	"KCNH2"	"ERG1 Potassium Channel"	"114922"	"1772"	"5"	FALSE
"cardiac valve disorders"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"114922"	"480"	"0"	FALSE
"cardiac valve disorders"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"114922"	"3015"	"6"	FALSE
"cardiac valve disorders"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"114922"	"1523"	"9"	FALSE
"cardiac valve disorders"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"114922"	"554"	"0"	FALSE
"cardiac valve disorders"	"MAOA"	"Monoamine Oxidase"	"114922"	"11015"	"12"	FALSE
"cardiac valve disorders"	"PGR"	"Receptors, Progesterone"	"114922"	"18606"	"0"	FALSE
"cardiac valve disorders"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"114922"	"4272"	"10"	FALSE
"cardiac valve disorders"	"GABRA1"	"Receptors, GABA-A"	"114922"	"18704"	"1"	FALSE
"cardiac valve disorders"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"114922"	"424"	"26"	FALSE
"cardiac valve disorders"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"114922"	"6781"	"33"	FALSE
"cardiac valve disorders"	"ADORA3"	"Receptor, Adenosine A3"	"114922"	"746"	"0"	FALSE
"cardiac valve disorders"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"114922"	"6442"	"6"	FALSE
"cardiac valve disorders"	"ACHE"	"Acetylcholinesterase"	"114922"	"21600"	"2"	FALSE
"cardiac valve disorders"	"CHRM1"	"Receptor, Muscarinic M1"	"114922"	"1272"	"0"	FALSE
"cardiac valve disorders"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"114922"	"26904"	"0"	FALSE
"cardiac valve disorders"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"114922"	"5639"	"0"	FALSE
"cardiac valve disorders"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"114922"	"3568"	"3"	FALSE
"cardiac valve disorders"	"CNR1"	"Receptor, Cannabinoid, CB1"	"114922"	"5259"	"1"	FALSE
"cardiac valve disorders"	"ADORA1"	"Receptor, Adenosine A1"	"114922"	"1347"	"1"	FALSE
"cardiac valve disorders"	"EDNRB"	"Receptor, Endothelin B"	"114922"	"2261"	"5"	FALSE
"cardiac valve disorders"	"EDNRA"	"Receptor, Endothelin A"	"114922"	"2741"	"9"	FALSE
"cardiac valve disorders"	"ADORA2A"	"Receptor, Adenosine A2A"	"114922"	"2325"	"2"	FALSE
"cardiac valve disorders"	"NTSR1"	"Receptors, Neurotensin"	"114922"	"1049"	"0"	FALSE
"cardiac valve disorders"	"OPRD1"	"Receptors, Opioid, delta"	"114922"	"4485"	"1"	FALSE
"cardiac valve disorders"	"ESR1"	"Receptors, Estrogen"	"114922"	"48067"	"5"	FALSE
"cardiac valve disorders"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"114922"	"592"	"0"	FALSE
"cardiac valve disorders"	"OPRM1"	"Receptors, Opioid, mu"	"114922"	"8769"	"1"	FALSE
